N	2gram	Tiupa_Narr_1	Problema
1	то есть	19	46
2	в его	9	43
3	и не	20	42
4	и в	19	38
5	не может	10	27
6	может быть	25	26
7	как бы	4	22
8	по отношению	7	21
9	отнюдь не	5	19
10	отношению к	6	19
11	и с	4	17
12	к содержанию	3	17
13	и его	5	16
14	в нем	4	15
15	в этом	17	15
16	независимо от	2	13
17	прежде всего	4	13
18	только в	4	13
19	но не	5	12
20	ни в	3	11
21	и для	2	11
22	в области	2	11
23	к нему	5	10
24	отношение к	2	10
25	но и	23	9
26	не имеет	2	9
27	его в	2	9
28	не только	32	9
29	в том	18	8
30	и как	5	8
31	и др	2	8
32	точки зрения	10	8
33	было бы	4	8
34	то что	11	8
35	что в	3	7
36	с другой	8	7
37	не в	14	7
38	между тем	3	7
39	как и	7	7
40	еще не	7	7
41	совершенно не	2	7
42	архитектоническая форма	2	7
43	как мы	3	7
44	не всегда	2	6
45	в пределах	2	6
46	а в	11	6
47	не есть	3	6
48	все же	7	6
49	дело с	2	6
50	самом деле	2	6
51	с точки	2	6
52	отношения к	2	6
53	ничего не	2	6
54	то же	4	5
55	в своем	2	5
56	это не	2	5
57	при этом	9	5
58	имеет место	4	5
59	никогда не	3	5
60	все эти	2	5
61	в основе	5	5
62	далеко не	5	5
63	так и	9	5
64	не на	2	5
65	в отличие	5	5
66	а не	12	5
67	могут быть	3	5
68	отличие от	5	5
69	должна быть	2	4
70	не менее	3	4
71	чтобы стать	2	4
72	в ней	3	4
73	в конечном	3	4
74	другой стороны	4	4
75	данном случае	4	4
76	в форме	5	4
77	и только	2	4
78	от всех	2	4
79	сказать что	4	4
80	в то	3	4
81	о том	6	4
82	в произведении	3	4
83	и потому	2	4
84	к которому	2	4
85	но в	6	4
86	конечном счете	2	4
87	не с	3	4
88	в ее	3	4
89	всех его	2	4
90	как в	7	4
91	тем самым	6	4
92	что не	4	4
93	между ними	2	4
94	хотя бы	4	4
95	можно было	2	4
96	в данном	5	4
97	в себе	8	4
98	здесь не	4	4
99	себя и	2	3
100	то ни	3	3
101	тем не	3	3
102	его как	2	3
103	да и	4	3
104	основе своей	4	3
105	имеем дело	2	3
106	же время	4	3
107	одной стороны	7	3
108	несмотря на	2	3
109	например в	2	3
110	хотя и	3	3
111	не является	8	3
112	точка зрения	6	3
113	и тем	4	3
114	с одной	7	3
115	они не	2	3
116	и даже	3	3
117	в область	2	3
118	и на	3	3
119	все то	2	3
120	ни было	3	3
121	и все	2	3
122	она может	2	3
123	том что	14	3
124	говорить о	2	3
125	бы то	3	3
126	одной из	4	3
127	он не	3	3
128	нет и	2	3
129	оно не	2	3
130	на него	3	3
131	бытия в	3	3
132	приводит к	2	3
133	в мире	9	3
134	в таком	2	3
135	здесь совершенно	2	3
136	или иное	2	2
137	в частности	14	2
138	в какой	2	2
139	столь же	3	2
140	или иной	5	2
141	можно сказать	5	2
142	в значительной	2	2
143	в свою	3	2
144	что это	3	2
145	той или	4	2
146	лица и	2	2
147	в культуре	2	2
148	отличается от	4	2
149	как к	2	2
150	в связи	2	2
151	в особенности	4	2
152	особенно в	3	2
153	не было	2	2
154	этом отношении	3	2
155	нуждается в	5	2
156	к себе	5	2
157	но как	2	2
158	того или	2	2
159	а иногда	2	2
160	событие в	2	2
161	как это	6	2
162	оно может	2	2
163	мы имеем	2	2
164	с его	6	2
165	себе не	2	2
166	не все	5	2
167	или иного	2	2
168	на первый	2	2
169	что он	6	2
170	по существу	2	2
171	связи с	4	2
172	одна из	3	2
173	имеют место	2	2
174	она не	2	2
175	событие не	4	2
176	себя в	5	2
177	бы не	2	2
178	в двух	2	2
179	человека в	2	2
180	в себя	6	2
181	из которых	4	2
182	со словами	2	2
183	и он	3	2
184	то или	3	2
185	или в	2	2
186	тем что	3	2
187	и ее	2	2
