N	3gram	Bakhtin_Pr_1	StatiiOP
1	в том что	7	17
2	о том что	2	11
3	для того чтобы	2	10
4	можно было бы	3	8
5	с точки зрения	15	8
6	в этом отношении	5	7
7	до сих пор	2	7
8	в данном случае	2	6
9	на самом деле	3	6
10	с другой стороны	2	6
11	во всяком случае	3	6
12	в самом деле	2	5
13	не может быть	3	5
14	то же время	7	4
15	в то же	7	4
16	и в этом	3	3
17	это не значит	2	3
18	по отношению к	11	3
19	заключается в том	2	3
20	в то время	2	2
21	в той же	3	2
22	хотя бы и	2	2
23	по крайней мере	2	2
24	но в то	2	2
