N	2gram	Propp_Morf_1	Dialekti
1	т е	21	48
2	и не	12	27
3	а не	11	26
4	точки зрения	2	25
5	и в	13	24
6	и т	41	24
7	значит что	3	24
8	не только	4	23
9	есть нечто	3	23
10	т д	39	23
11	что такое	3	21
12	не может	14	19
13	ничего не	4	17
14	и есть	2	16
15	и что	2	15
16	то что	8	14
17	с точки	2	14
18	может быть	52	13
19	таким образом	21	13
20	что он	4	13
21	вовсе не	4	13
22	того что	3	12
23	есть и	4	12
24	не менее	5	11
25	не имеет	2	11
26	что же	2	11
27	тем не	5	10
28	не существует	3	10
29	в сущности	3	10
30	то это	3	9
31	но и	4	9
32	что она	2	9
33	учение о	3	8
34	прежде всего	9	8
35	и как	5	8
36	что мы	2	8
37	том что	4	8
38	в этом	14	8
39	в виде	2	8
40	если же	5	8
41	что в	8	7
42	потому что	3	7
43	ясно что	5	7
44	это и	2	7
45	как и	3	7
46	но если	7	6
47	о том	2	6
48	так как	16	6
49	если бы	2	6
50	утверждать что	3	6
51	об этом	4	6
52	оно не	2	6
53	что и	7	6
54	даже не	3	6
55	не на	2	6
56	то же	7	6
57	самом деле	4	6
58	и пр	37	6
59	как же	2	5
60	в том	6	5
61	что его	2	5
62	но это	6	5
63	хотя и	3	5
64	или не	3	5
65	в то	3	5
66	как это	3	5
67	вопрос о	7	5
68	и к	4	5
69	было бы	3	5
70	он не	3	5
71	так и	6	5
72	уже не	2	5
73	мы не	8	5
74	только в	2	5
75	или нет	2	5
76	тому что	4	4
77	с другой	8	4
78	это не	6	4
79	не могут	4	4
80	то время	3	4
81	к тому	4	4
82	хотя бы	4	4
83	так же	3	4
84	время как	3	4
85	сказать что	2	4
86	на первый	3	4
87	у нас	2	4
88	говорить о	3	4
89	от того	3	4
90	только что	2	4
91	тому как	5	4
92	подобно тому	6	4
93	перед нами	10	3
94	все же	7	3
95	не в	3	3
96	она не	2	3
97	же она	2	3
98	случае не	3	3
99	из двух	2	3
100	это было	3	3
101	из них	3	3
102	как таковая	2	3
103	все эти	2	3
104	друг друга	3	3
105	с этим	11	3
106	при помощи	9	3
107	ни к	2	3
108	тем что	4	3
109	он должен	2	3
110	на то	2	3
111	одна из	4	3
112	как таковое	2	3
113	не значит	2	3
114	как бы	3	3
115	быть и	2	3
116	или же	6	3
117	имеется в	3	3
118	для того	2	3
119	из которых	3	3
120	к нему	3	3
121	в каком	2	3
122	и ее	3	3
123	и этим	5	3
124	а если	4	3
125	в частности	2	2
126	чаще всего	7	2
127	требует чтобы	3	2
128	как таковой	2	2
129	для нас	2	2
130	на этом	3	2
131	еще не	3	2
132	несмотря на	4	2
133	например в	2	2
134	но для	2	2
135	себя и	2	2
136	всяком случае	2	2
137	как особого	2	2
138	и тем	2	2
139	то как	2	2
140	другой стороны	4	2
141	целый ряд	3	2
142	как например	2	2
143	и по	2	2
144	а в	7	2
145	также и	4	2
146	и здесь	5	2
147	но вот	2	2
148	в первом	3	2
149	но в	2	2
150	этого не	2	2
151	с его	2	2
152	на котором	3	2
153	все еще	3	2
154	же они	2	2
155	же в	2	2
156	но как	2	2
157	по существу	12	2
158	то в	3	2
159	но не	4	2
160	никто не	3	2
161	может существовать	3	2
162	же можно	2	2
163	исходят из	2	2
164	со стороны	3	2
165	исходит от	2	2
166	как мы	6	2
167	и для	2	2
168	или в	4	2
169	бы то	3	2
170	во всяком	2	2
171	могут быть	16	2
