N	2gram	Nazirov_Vr_1	KFilosof
1	может быть	4	43
2	в его	3	39
3	в нем	6	31
4	не может	2	27
5	и не	5	26
6	и в	8	22
7	в котором	6	21
8	в себе	2	21
9	и его	3	17
10	точки зрения	2	13
11	в этом	8	13
12	для него	2	12
13	и это	2	12
14	в своей	2	11
15	в своем	3	10
16	это не	4	10
17	все это	4	10
18	с точки	2	10
19	но и	7	9
20	как бы	4	9
21	и все	7	9
22	не было	5	8
23	на основе	2	7
24	то что	7	7
25	я не	3	6
26	в том	3	6
27	но это	2	6
28	отношение к	2	6
29	в мире	2	6
30	отнюдь не	2	6
31	ко мне	2	6
32	этот момент	2	6
33	он не	3	6
34	уже не	2	6
35	никогда не	2	5
36	то же	5	5
37	но как	2	5
38	его в	3	5
39	с ним	4	5
40	но в	6	5
41	как и	6	5
42	что я	2	5
43	не только	9	5
44	все же	6	5
45	место в	2	4
46	что в	7	4
47	время и	2	4
48	для нас	4	4
49	при этом	4	4
50	к ним	2	4
51	меня но	2	4
52	в своих	4	4
53	между тем	5	4
54	том что	3	4
55	о нем	6	4
56	а в	2	4
57	в чем	3	4
58	не менее	2	3
59	в свою	2	3
60	в виду	4	3
61	рядом с	2	3
62	в ней	4	3
63	в то	5	3
64	о том	4	3
65	еще не	2	3
66	меня как	2	3
67	тем что	3	3
68	в момент	2	3
69	а с	2	2
70	его и	2	2
71	и как	3	2
72	же время	5	2
73	в него	2	2
74	его с	2	2
75	что есть	3	2
76	к себе	2	2
77	с его	3	2
78	и то	2	2
79	к этому	3	2
80	что он	4	2
81	в это	2	2
82	в этой	2	2
83	его на	2	2
