N	2gram	Trubetskoy_1	Tvorches
1	и в	23	21
2	как бы	10	17
3	в то	6	15
4	в его	5	13
5	то же	4	13
6	что в	8	12
7	как и	9	12
8	же время	2	12
9	то есть	2	12
10	том что	19	11
11	все это	11	10
12	он не	3	8
13	то что	18	8
14	у него	5	7
15	в свою	2	7
16	в том	30	7
17	тем самым	3	7
18	при этом	9	7
19	не только	7	7
20	и не	8	7
21	и на	6	7
22	но в	4	7
23	что он	7	6
24	и все	7	6
25	не менее	7	6
26	для него	2	6
27	в котором	2	6
28	а в	3	6
29	в этом	12	6
30	о том	7	6
31	отнюдь не	2	5
32	вовсе не	2	5
33	может быть	16	5
34	в этой	6	5
35	все же	13	5
36	таким образом	31	5
37	хотя бы	4	5
38	в своих	2	5
39	потому что	9	5
40	как будто	5	5
41	только в	6	5
42	в своем	10	4
43	та же	3	4
44	прежде всего	3	4
45	в мире	6	4
46	в целом	5	4
47	из всех	5	4
48	одним из	4	4
49	не может	17	4
50	это не	3	4
51	и от	5	4
52	никогда не	4	3
53	с другой	6	3
54	что все	5	3
55	представление о	3	3
56	я не	2	3
57	с ним	6	3
58	с ее	2	3
59	в дальнейшем	2	3
60	но не	2	3
61	в самом	8	3
62	но если	2	3
63	даже в	3	3
64	в нем	3	3
65	жизни и	2	3
66	но и	9	3
67	в ту	2	3
68	в их	4	3
69	на земле	3	3
70	и других	2	3
71	на самом	7	3
72	того что	6	3
73	не так	4	3
74	и по	3	3
75	так же	8	3
76	в которой	5	3
77	и с	5	3
78	хотя и	4	3
79	в виде	4	3
80	ту же	2	3
81	далеко не	5	3
82	так как	7	3
83	в основе	2	2
84	может не	3	2
85	такой же	2	2
86	в частности	2	2
87	в этих	3	2
88	на том	2	2
89	в жизни	3	2
90	к этому	5	2
91	в с	3	2
92	ее и	3	2
93	что и	7	2
94	в в	4	2
95	что его	4	2
96	а затем	2	2
97	так что	5	2
98	не в	8	2
99	то в	2	2
100	одна из	2	2
101	ибо в	4	2
102	того же	9	2
103	между людьми	2	2
104	тот же	3	2
105	из них	5	2
106	к тому	8	2
107	в ней	3	2
108	из себя	10	2
109	гораздо более	2	2
110	тем не	4	2
111	не будет	5	2
112	вместе с	6	2
113	данном случае	3	2
114	так и	10	2
115	как к	5	2
116	что для	4	2
117	и того	3	2
118	именно в	5	2
119	в себя	2	2
120	в одно	2	2
121	и будет	2	2
122	самом деле	12	2
123	и у	4	2
124	и наконец	3	2
125	только что	3	2
126	что как	4	2
127	отличие от	3	2
128	во имя	3	2
129	в данном	3	2
130	в себе	5	2
131	о котором	7	2
132	не знает	2	2
133	в один	2	2
134	при помощи	3	2
135	настоящее время	2	2
136	не то	3	2
137	в виду	2	2
