N	2gram	Propp_Isto_1	Russkaja
1	не может	15	22
2	и не	9	19
3	в том	9	17
4	в этом	8	17
5	и в	28	14
6	с другом	3	14
7	друг с	4	14
8	то что	9	13
9	таким образом	8	11
10	то же	12	11
11	но и	10	10
12	в то	3	10
13	том что	7	9
14	не только	12	9
15	в себе	2	9
16	может быть	25	9
17	прежде всего	10	8
18	ни к	2	7
19	к тому	6	7
20	и если	2	7
21	мы должны	13	7
22	о том	9	7
23	и с	4	7
24	если бы	8	6
25	что он	10	6
26	с тем	4	6
27	для него	2	6
28	для всех	2	6
29	все это	4	6
30	в своем	5	6
31	и для	4	6
32	между собой	4	5
33	хотя бы	4	5
34	он должен	2	5
35	вопрос о	5	5
36	на то	4	5
37	и на	4	5
38	при этом	3	5
39	до сих	5	5
40	было бы	7	5
41	конечно не	2	5
42	он не	2	5
43	никогда не	14	5
44	в нем	2	5
45	сих пор	5	5
46	во всех	2	5
47	и только	2	5
48	по существу	5	5
49	из которых	3	5
50	а в	7	5
51	потому что	4	5
52	только в	11	5
53	между тем	2	5
54	но не	5	4
55	не могут	2	4
56	что в	12	4
57	то ни	2	4
58	тогда когда	2	4
59	как и	4	4
60	более или	5	4
61	как бы	2	4
62	все же	10	4
63	себя в	2	4
64	бы то	2	4
65	вместе с	6	4
66	со стороны	2	4
67	или менее	5	4
68	что же	3	4
69	в их	3	4
70	приводит к	2	4
71	точку зрения	3	4
72	не в	9	4
73	можно было	5	4
74	отказаться от	2	4
75	в этой	6	4
76	во всем	3	4
77	в его	5	4
78	его в	6	4
79	так как	6	4
80	что это	8	3
81	именно в	3	3
82	в большинстве	4	3
83	всех этих	2	3
84	и как	2	3
85	в другом	3	3
86	что они	5	3
87	так чтобы	2	3
88	должно быть	2	3
89	в качестве	5	3
90	еще не	7	3
91	том чтобы	2	3
92	одной из	2	3
93	но если	2	3
94	и потому	2	3
95	для этого	3	3
96	но мы	2	3
97	то это	3	3
98	что и	6	3
99	не есть	2	3
100	и т	25	3
101	из них	3	3
102	того что	4	3
103	и по	3	3
104	или в	5	3
105	тем что	3	3
106	в виде	2	3
107	связи с	4	3
108	из этого	2	3
109	одна из	2	3
110	только для	2	2
111	а с	2	2
112	зависит от	2	2
113	нисколько не	2	2
114	должна быть	5	2
115	в частности	2	2
116	по этому	2	2
117	были бы	2	2
118	его и	2	2
119	и от	2	2
120	с этим	4	2
121	точно так	3	2
122	так часто	2	2
123	этот вопрос	7	2
124	ясно что	2	2
125	их не	2	2
126	по себе	3	2
127	не должен	5	2
128	уже не	3	2
129	так что	4	2
130	из всех	2	2
131	но это	4	2
132	именно на	2	2
133	не можем	3	2
134	указывает на	2	2
135	там и	3	2
136	и тот	2	2
137	за то	2	2
138	в ней	7	2
139	на это	2	2
140	к чему	3	2
141	в котором	3	2
142	и тем	2	2
143	для нас	13	2
144	в некоторых	2	2
145	ее в	5	2
146	сделать это	2	2
147	даже не	2	2
148	и тогда	3	2
149	по отношению	3	2
150	отношения к	2	2
151	все эти	4	2
152	не просто	3	2
153	и вот	2	2
154	и что	10	2
155	а не	15	2
156	что такое	2	2
157	и даже	4	2
158	не так	2	2
159	так же	7	2
160	во многих	2	2
161	их в	5	2
162	в силу	5	2
163	в начале	3	2
164	во время	3	2
165	на эту	3	2
166	в таких	2	2
167	как будто	4	2
168	в этих	7	2
169	большинстве случаев	4	2
170	только с	2	2
171	с ним	2	2
172	и должно	3	2
173	в области	2	2
174	но в	8	2
