N	2gram	Losev_Vlad_2	UchenyiS
1	и в	30	14
2	а не	7	10
3	не только	12	10
4	и не	18	8
5	прежде всего	6	8
6	то что	20	7
7	в этом	20	7
8	не может	9	7
9	может быть	7	6
10	хотя бы	3	5
11	все это	5	5
12	то же	4	5
13	но и	8	4
14	в этой	4	4
15	в их	2	4
16	в россии	3	4
17	конечно не	4	4
18	но в	8	3
19	как и	5	3
20	и то	5	3
21	все же	9	3
22	в своей	5	3
23	в частности	2	3
24	же время	3	3
25	для него	9	3
26	это не	2	3
27	в то	9	3
28	было бы	9	3
29	в области	3	3
30	не о	2	3
31	у нас	6	3
32	том что	12	2
33	но не	3	2
34	в том	18	2
35	по существу	3	2
36	мы не	2	2
37	с его	4	2
38	не есть	4	2
39	крайней мере	4	2
40	не в	9	2
41	всех этих	3	2
42	и для	3	2
43	но это	4	2
44	не столько	3	2
45	о чем	6	2
46	нас в	2	2
47	только в	6	2
48	и с	14	2
49	его и	2	2
50	даже и	3	2
51	что он	13	2
52	в себе	6	2
53	в конце	13	2
54	на эту	2	2
55	если не	2	2
56	в самом	2	2
57	сколько угодно	2	2
58	нам представляется	2	2
59	по себе	5	2
60	ничего не	2	2
61	по крайней	4	2
62	что и	3	2
63	в его	11	2
64	на первый	2	2
65	конце концов	3	2
66	таким образом	3	2
67	это было	4	2
