N	2gram	Vygotskiy__5	Dialekti
1	не есть	4	40
2	и не	12	30
3	по себе	7	25
4	и в	16	18
5	ничего не	5	17
6	может быть	9	17
7	точки зрения	18	17
8	в нем	7	16
9	и есть	7	16
10	так что	4	15
11	не имеет	4	15
12	значит что	5	14
13	а не	10	14
14	потому что	21	14
15	что в	16	13
16	то что	26	13
17	не только	16	13
18	и даже	2	13
19	если бы	8	12
20	было бы	10	12
21	и что	12	12
22	с точки	9	12
23	в этом	25	12
24	не может	18	12
25	что он	25	11
26	как бы	5	11
27	учение о	2	11
28	все это	2	11
29	это значит	5	11
30	так как	16	11
31	прежде всего	3	10
32	то же	8	10
33	сказать что	13	10
34	никогда не	5	9
35	это не	4	9
36	в том	18	9
37	это есть	4	9
38	так и	7	9
39	том что	15	9
40	и то	4	9
41	сама по	4	8
42	но это	3	8
43	совершенно не	2	8
44	к нему	3	8
45	вовсе не	2	7
46	и как	3	7
47	то в	3	7
48	но и	6	7
49	что она	2	7
50	как она	3	7
51	с другой	4	6
52	можно сказать	5	6
53	хотя бы	5	6
54	никак не	3	6
55	не в	6	6
56	в то	5	6
57	ни на	2	6
58	в чем	3	6
59	с ним	5	6
60	не то	4	6
61	но в	6	6
62	я не	2	5
63	в этих	3	5
64	в своем	5	5
65	говорит о	3	5
66	но если	6	5
67	не с	2	5
68	все же	3	5
69	отношение к	11	5
70	в отношении	9	5
71	общего с	2	5
72	что оно	6	5
73	а в	3	5
74	само по	2	5
75	можно было	5	5
76	и с	3	5
77	говорить о	3	5
78	или не	2	5
79	мы должны	8	5
80	об отношении	2	5
81	в виду	2	5
82	и более	3	4
83	больше того	2	4
84	к тому	6	4
85	что эта	3	4
86	во всяком	2	4
87	это мы	2	4
88	это и	3	4
89	мы видим	4	4
90	не говорит	2	4
91	но не	10	4
92	на всю	2	4
93	в котором	2	4
94	то это	2	4
95	так же	15	4
96	другой стороны	2	4
97	мы говорим	2	4
98	как мы	10	4
99	мы можем	6	4
100	ничего общего	3	4
101	о том	8	4
102	как он	6	4
103	как это	8	4
104	может иметь	2	3
105	сознания и	2	3
106	тому что	5	3
107	в них	2	3
108	все равно	2	3
109	должна быть	5	3
110	стороны и	2	3
111	есть не	2	3
112	не является	5	3
113	что и	3	3
114	а только	4	3
115	точек зрения	4	3
116	чтобы понять	2	3
117	что я	2	3
118	что они	5	3
119	но что	3	3
120	говорит что	5	3
121	и из	2	3
122	он не	8	3
123	в его	11	3
124	и потому	2	3
125	если в	3	3
126	друг другу	2	3
127	жизни и	2	3
128	но только	2	3
129	то как	3	3
130	отношения к	2	3
131	указывает на	2	3
132	мысли и	5	3
133	в их	3	3
134	только на	2	3
135	в самом	4	3
136	еще и	3	3
137	еще более	5	3
138	но все	2	3
139	но с	2	3
140	самом деле	3	3
141	только что	5	3
142	должно быть	8	3
143	что для	2	3
144	ничто не	2	3
145	в основе	8	3
146	в ней	2	3
147	могут быть	4	3
148	только в	10	3
149	бы в	4	3
150	на этом	3	2
151	не менее	3	2
152	но они	2	2
153	того что	16	2
154	же как	7	2
155	по мере	2	2
156	именно в	4	2
157	в частности	3	2
158	не знает	5	2
159	в качестве	4	2
160	сравнению с	5	2
161	как в	5	2
162	с этой	4	2
163	и от	2	2
164	точка зрения	8	2
165	к этому	3	2
166	вопрос о	12	2
167	этой точки	4	2
168	быть в	2	2
169	как и	8	2
170	мы и	5	2
171	такой же	4	2
172	является не	2	2
173	что если	4	2
174	и другое	4	2
175	чем он	2	2
176	связанные с	6	2
177	тому же	2	2
178	для него	5	2
179	до сих	3	2
180	еще не	4	2
181	одной стороны	3	2
182	и может	3	2
183	для того	14	2
184	о чем	2	2
185	никто не	2	2
186	в корне	2	2
187	вслед за	2	2
188	по сравнению	5	2
189	к ним	2	2
190	и следовательно	6	2
191	и является	3	2
192	тем более	4	2
193	из них	2	2
194	в своей	2	2
195	и их	4	2
196	сих пор	3	2
197	с этим	3	2
198	речь как	2	2
199	а с	2	2
200	этом отношении	5	2
201	с одной	3	2
202	все эти	4	2
203	из того	11	2
204	если мы	7	2
205	мысли в	4	2
206	учения о	2	2
207	то и	2	2
208	но как	3	2
209	в другом	6	2
210	во всем	2	2
211	как с	3	2
212	время как	4	2
