N	2gram	Kanaev_Sov_1	Istorich
1	и в	7	24
2	не только	4	21
3	может быть	12	14
4	не может	17	14
5	что в	2	13
6	в этом	7	12
7	это не	4	10
8	у него	2	10
9	а в	4	10
10	и что	2	10
11	мы видим	2	10
12	не в	3	9
13	все же	3	9
14	еще не	3	8
15	все это	3	8
16	то же	3	8
17	а не	3	8
18	так как	4	8
19	в том	4	7
20	мы видели	4	7
21	одна из	3	7
22	вместе с	4	7
23	таким образом	11	7
24	для нас	3	6
25	как и	6	6
26	в нем	3	6
27	и все	3	6
28	как он	3	6
29	что это	2	6
30	не менее	2	5
31	с одной	2	5
32	что она	3	5
33	ничего не	6	5
34	но в	3	5
35	он может	3	4
36	тем не	2	4
37	но все	2	4
38	при этом	3	4
39	как бы	4	4
40	то и	2	4
41	и не	6	4
42	ее на	2	4
43	мы не	9	4
44	точки зрения	12	4
45	мы должны	4	4
46	мы можем	6	4
47	уже в	3	3
48	из одного	2	3
49	вопрос о	4	3
50	в дальнейшем	4	3
51	следующим образом	3	3
52	как мы	2	3
53	и наконец	5	3
54	и даже	2	3
55	и по	2	3
56	знаем что	2	3
57	из этих	2	3
58	которой он	2	3
59	в конце	3	3
60	прежде всего	5	2
61	не могут	2	2
62	не можем	7	2
63	мы знаем	2	2
64	что при	2	2
65	тот же	2	2
66	было бы	3	2
67	на его	2	2
68	в самом	2	2
69	отличается от	3	2
70	уже не	2	2
71	что такое	2	2
72	на этот	2	2
73	в которой	2	2
74	из них	4	2
75	он в	3	2
76	с этим	2	2
77	в один	2	2
78	все эти	5	2
