N	2gram	Berdyaev_M_1	Myslijsy
1	то есть	3	34
2	потому что	16	33
3	то что	5	29
4	может быть	30	26
5	в том	6	23
6	и в	28	23
7	в этом	20	23
8	и не	11	18
9	что в	10	17
10	только в	6	15
11	для нас	3	14
12	как и	5	14
13	в себе	7	14
14	того что	7	14
15	так как	3	14
16	если бы	2	13
17	том что	3	12
18	не было	18	12
19	а не	25	12
20	но и	25	11
21	не в	16	11
22	не может	28	11
23	и потому	10	10
24	по отношению	2	10
25	не только	29	10
26	тем что	4	10
27	не есть	9	9
28	в своем	10	8
29	было бы	10	8
30	отношению к	2	8
31	заключает в	3	8
32	сказать что	2	8
33	о том	2	8
34	но в	7	8
35	с тем	9	7
36	это не	5	7
37	в нем	13	7
38	что и	4	7
39	и что	2	7
40	могут быть	2	7
41	как в	2	7
42	мысли и	2	7
43	с этим	3	7
44	и к	2	6
45	для того	2	6
46	вместе с	6	6
47	человеческого духа	26	6
48	когда мы	2	6
49	в которой	6	6
50	уже в	4	5
51	есть только	2	5
52	для него	11	5
53	и мы	2	5
54	в его	9	5
55	как бы	2	5
56	к нему	7	5
57	бы и	3	5
58	все это	6	5
59	должно быть	3	5
60	а в	4	5
61	с ним	2	5
62	не имеет	3	5
63	и все	10	4
64	быть может	7	4
65	что он	10	4
66	есть не	4	4
67	есть уже	4	4
68	до сих	2	4
69	в котором	8	4
70	сих пор	2	4
71	в истории	2	4
72	в той	2	4
73	того чтобы	2	4
74	хотя бы	3	4
75	для человека	3	4
76	когда человек	3	4
77	точки зрения	4	4
78	в каком	2	4
79	в то	2	4
80	его в	3	4
81	и с	3	4
82	и есть	14	3
83	никогда не	14	3
84	в этих	4	3
85	в них	4	3
86	о человеке	23	3
87	человека и	14	3
88	и вместе	4	3
89	что человек	3	3
90	к тому	3	3
91	в самом	11	3
92	в виду	2	3
93	и их	3	3
94	нет ничего	7	3
95	душевной жизни	2	3
96	что есть	5	3
97	бы не	2	3
98	все эти	2	3
99	уже не	4	3
100	лишь в	6	3
101	ко всем	3	3
102	и по	4	3
103	ведет к	6	3
104	и на	6	3
105	это есть	3	3
106	в которых	4	3
107	или от	2	3
108	даже и	2	3
109	не существует	2	2
110	не могут	5	2
111	и как	2	2
112	мысли о	2	2
113	все что	2	2
114	не как	4	2
115	и я	5	2
116	а как	2	2
117	вопрос о	2	2
118	человек не	10	2
119	отношение к	4	2
120	все в	6	2
121	человека а	3	2
122	в ее	3	2
123	в самой	7	2
124	у нас	5	2
125	от него	4	2
126	чем в	2	2
127	по своему	2	2
128	есть и	3	2
129	в свою	2	2
130	она не	4	2
131	в ней	15	2
132	он не	24	2
133	и когда	2	2
134	не значит	2	2
135	человека из	2	2
136	никто не	2	2
137	один из	4	2
138	и это	12	2
139	в мире	10	2
140	на том	3	2
141	конечно не	3	2
142	мы видим	2	2
143	быть не	2	2
144	и для	2	2
145	человека в	13	2
146	и у	2	2
147	на этот	2	2
148	не так	3	2
149	и его	9	2
150	есть лишь	9	2
151	духа и	4	2
152	света и	2	2
153	в более	2	2
154	к ней	4	2
155	том смысле	2	2
156	бы в	2	2
157	от его	2	2
158	человеческой природы	20	2
159	и сама	2	2
