N	2gram	Vinokur_Vv_1	Istorich
1	и в	27	22
2	мы имеем	3	19
3	в этом	34	17
4	и т	43	16
5	т е	38	16
6	т д	37	15
7	что в	11	15
8	не только	21	14
9	мы видели	2	13
10	но и	5	12
11	и не	13	12
12	может быть	24	11
13	в этих	3	11
14	еще не	4	10
15	таким образом	19	10
16	но в	10	10
17	что он	4	9
18	в нем	13	9
19	что и	3	9
20	вместе с	6	9
21	в том	31	9
22	с этим	2	8
23	том что	26	8
24	как мы	9	8
25	другой стороны	5	7
26	с другой	8	7
27	к этому	3	7
28	но не	7	7
29	то что	17	7
30	из них	3	7
31	уже не	5	7
32	этих случаях	2	7
33	так как	13	7
34	связи с	3	6
35	в них	4	6
36	это не	8	6
37	что здесь	2	6
38	не вполне	4	6
39	с ней	2	6
40	а в	5	6
41	то же	8	6
42	в течение	5	6
43	а не	3	6
44	мы можем	2	6
45	ничего не	2	6
46	если бы	2	6
47	не менее	8	5
48	в частности	3	5
49	тем не	8	5
50	так что	5	5
51	до сих	5	5
52	есть и	4	5
53	один из	6	5
54	все же	8	5
55	этом случае	6	5
56	что она	3	5
57	того что	12	5
58	сих пор	5	5
59	к нему	2	5
60	могут быть	4	5
61	в этой	3	5
62	как это	5	4
63	у нас	2	4
64	не в	8	4
65	в дальнейшем	2	4
66	только в	13	4
67	на этом	3	4
68	одним из	5	4
69	отношение к	3	4
70	а именно	6	4
71	и его	5	4
72	и на	3	4
73	в данном	11	4
74	не может	13	4
75	тем что	6	4
76	представляют собой	6	4
77	все эти	3	4
78	и с	2	4
79	связана с	4	3
80	состоит в	2	3
81	раньше чем	3	3
82	прежде всего	8	3
83	можно только	2	3
84	стороны и	3	3
85	не что	4	3
86	к тому	4	3
87	как и	5	3
88	и как	9	3
89	представляет собой	12	3
90	особого рода	4	3
91	было бы	5	3
92	в его	10	3
93	никогда не	3	3
94	в целом	5	3
95	быть и	2	3
96	данном случае	5	3
97	со стороны	12	3
98	должен был	4	3
99	в связи	2	3
100	на нее	2	3
101	на том	3	3
102	имеет свою	2	3
103	а если	2	3
104	так же	3	3
105	иное как	5	3
106	сказать что	5	3
107	потому что	14	3
108	он и	2	3
109	и ее	4	3
110	из этих	5	3
111	что иное	4	3
112	о том	15	3
113	его в	6	3
114	при помощи	2	3
115	здесь не	2	3
116	в чем	4	3
117	если это	2	3
118	с тем	6	2
119	независимо от	3	2
120	и есть	3	2
121	и др	2	2
122	это делает	2	2
123	точно так	2	2
124	в одном	4	2
125	вовсе не	6	2
126	вопрос о	8	2
127	от которых	2	2
128	с изучением	2	2
129	дать ответ	2	2
130	в тех	2	2
131	можно сказать	3	2
132	во всяком	3	2
133	но все	3	2
134	в силу	3	2
135	одна из	2	2
136	с одной	4	2
137	при этом	3	2
138	в качестве	7	2
139	как следует	2	2
140	после того	2	2
141	это еще	2	2
142	одной стороны	4	2
143	например в	2	2
144	себе и	2	2
145	не мог	2	2
146	же как	3	2
147	да и	4	2
148	хотя и	3	2
149	в ней	3	2
150	всяком случае	3	2
151	в этот	2	2
152	в котором	4	2
153	не имеет	4	2
154	не с	2	2
155	то это	3	2
156	и уже	3	2
157	отношению к	4	2
158	и это	6	2
159	после этого	2	2
160	жизни и	2	2
161	только на	3	2
162	по отношению	4	2
163	в своем	3	2
164	в особенности	4	2
165	той же	4	2
166	этот вопрос	4	2
167	из того	2	2
168	и вот	3	2
169	стоит в	2	2
170	и что	4	2
171	что не	5	2
172	и даже	5	2
173	есть только	2	2
174	и для	4	2
175	вот почему	3	2
176	в которых	6	2
177	в работе	3	2
178	и то	5	2
179	дело с	6	2
180	между тем	8	2
181	в виде	4	2
182	точки зрения	7	2
183	в другом	3	2
184	в то	5	2
185	как будто	3	2
186	а также	3	2
