N	2gram	Tiupa_Narr_1	OGranits
1	и в	11	13
2	и его	10	12
3	прежде всего	4	9
4	не может	8	8
5	и не	23	8
6	может быть	15	8
7	и т.п	8	7
8	точки зрения	5	7
9	в его	6	7
10	не только	31	6
11	то что	9	6
12	только в	12	6
13	как бы	6	6
14	все же	4	5
15	хотя бы	2	5
16	и т.д	6	5
17	то же	8	4
18	не является	3	4
19	в своей	5	4
20	лишь в	3	4
21	мы не	3	4
22	мы можем	2	4
23	в сознании	4	4
24	но в	7	4
25	отношению к	3	3
26	что в	3	3
27	никогда не	4	3
28	но и	27	3
29	так и	5	3
30	по отношению	3	3
31	и все	3	3
32	в одном	4	3
33	самом деле	3	3
34	да и	2	3
35	как и	13	3
36	не в	6	3
37	и то	3	3
38	в пределах	2	3
39	одно и	2	3
40	в себе	6	3
41	и для	2	3
42	но для	3	3
43	т.п и	2	3
44	еще в	3	2
45	не менее	3	2
46	и тем	4	2
47	в нем	4	2
48	в целом	3	2
49	своего рода	10	2
50	данном случае	8	2
51	а не	13	2
52	в произведении	2	2
53	во времени	9	2
54	другой стороны	2	2
55	с другой	2	2
56	в связи	2	2
57	входит в	2	2
58	а в	13	2
59	роль в	2	2
60	на две	2	2
61	иным как	2	2
62	к тому	6	2
63	как в	4	2
64	если бы	7	2
65	в чем	2	2
66	не имеет	2	2
67	в том	8	2
68	не мог	6	2
69	том что	7	2
70	в зависимости	2	2
71	с ними	2	2
72	в данном	11	2
73	зависимости от	2	2
74	в этом	12	2
75	между тем	3	2
76	при этом	19	2
77	и ее	3	2
78	соответствии с	4	2
79	для него	4	2
80	в области	2	2
81	в самом	6	2
82	героя и	2	2
83	имеет место	4	2
84	в ней	4	2
85	чем иным	2	2
86	и является	2	2
87	а также	6	2
