N	2gram	Savitsky_P_1	VerxiiNi
1	и в	14	26
2	с тем	3	18
3	в этом	10	15
4	точки зрения	3	13
5	как бы	4	12
6	в том	9	11
7	может быть	5	10
8	не только	17	10
9	и с	2	10
10	что в	4	9
11	но и	6	9
12	в области	11	9
13	с другой	5	8
14	главным образом	2	8
15	но не	3	8
16	в общем	2	8
17	и не	12	8
18	как на	2	8
19	том что	4	7
20	одной стороны	3	7
21	из них	2	7
22	то что	4	7
23	с одной	3	7
24	потому что	3	7
25	но в	9	7
26	и потому	4	6
27	все это	2	6
28	в отношении	10	6
29	с точки	3	6
30	в себе	3	6
31	мы должны	4	6
32	том числе	2	5
33	и к	4	5
34	в его	2	5
35	а не	2	5
36	для того	3	5
37	в силу	2	5
38	в мире	2	5
39	в нем	3	4
40	в смысле	6	4
41	в котором	4	4
42	не может	4	4
43	а в	4	4
44	то же	9	4
45	в которых	5	4
46	в виде	2	4
47	в то	7	4
48	только в	7	4
49	не менее	2	3
50	если бы	4	3
51	хотя бы	8	3
52	европейской культуры	4	3
53	и как	3	3
54	в своем	4	3
55	так называемые	2	3
56	в качестве	9	3
57	и если	4	3
58	и о	5	3
59	если в	2	3
60	в значительной	2	3
61	того что	2	3
62	русский народ	2	3
63	именно в	2	2
64	в них	2	2
65	может ли	2	2
66	прежде всего	3	2
67	а также	4	2
68	в начале	2	2
69	же время	7	2
70	что мы	3	2
71	тот же	3	2
72	мысль о	2	2
73	вслед за	3	2
74	значительной мере	2	2
75	не к	2	2
76	во всех	2	2
77	заключает в	2	2
78	не было	2	2
79	на пути	4	2
80	в русском	2	2
81	не в	5	2
82	по сравнению	2	2
83	и это	2	2
84	в россии	3	2
85	в эту	2	2
86	между тем	3	2
