N	3gram	Medvedev_V_1	KulturaY
1	и т п	9	24
2	и т д	14	14
3	в том что	5	10
4	можно было бы	2	9
5	для того чтобы	3	8
6	с другой стороны	8	7
7	по крайней мере	2	6
8	в зависимости от	5	4
9	не только в	2	4
10	не может быть	8	4
11	в этой области	3	4
12	в этом отношении	13	3
13	или меньшей степени	2	3
14	в связи с	3	3
15	большей или меньшей	3	3
16	в большей или	2	3
17	в то же	5	3
18	то же время	5	3
19	в конце концов	2	3
20	и в другом	2	2
21	можно сказать что	4	2
22	мы знаем что	2	2
23	хотя бы и	5	2
24	этой точки зрения	2	2
25	в конечном счете	5	2
26	вместе с тем	3	2
27	только в том	2	2
