N	2gram	Voloshinov_1	Myshleni
1	в том	3	28
2	и в	16	28
3	то что	3	28
4	в этом	9	27
5	в развитии	2	24
6	не может	8	19
7	том что	3	19
8	таким образом	9	18
9	что он	2	18
10	только в	4	18
11	что в	3	17
12	не только	7	16
13	так же	2	15
14	по сравнению	3	15
15	сравнению с	3	14
16	может быть	17	13
17	с помощью	2	13
18	сказать что	7	13
19	точки зрения	8	13
20	и не	4	11
21	к другим	2	11
22	как бы	5	11
23	что мы	2	11
24	как мы	4	10
25	но и	4	10
26	понятия и	2	10
27	так как	4	10
28	с точки	6	10
29	между собой	2	9
30	было бы	2	9
31	мы можем	9	9
32	никогда не	2	8
33	в самом	2	8
34	еще не	5	8
35	самого начала	4	7
36	того же	2	7
37	с самого	4	7
38	в нем	4	7
39	и других	2	7
40	что оно	2	7
41	мы видим	2	7
42	отношение к	5	7
43	он не	2	7
44	вместе с	3	7
45	то же	2	7
46	между ними	3	7
47	и к	6	6
48	же как	2	6
49	и как	3	6
50	для него	6	6
51	его в	4	6
52	как и	2	6
53	можно сказать	4	6
54	так и	4	6
55	мы не	2	6
56	вообще не	2	6
57	в чем	5	6
58	в области	3	6
59	не могут	2	5
60	в пределах	2	5
61	на этой	3	5
62	и на	4	5
63	и все	4	5
64	но в	4	5
65	могут быть	3	5
66	в этой	4	5
67	в частности	2	4
68	что на	2	4
69	мы знаем	3	4
70	на этом	3	4
71	с этим	2	4
72	они не	2	4
73	на основе	2	4
74	знаем что	2	4
75	оно не	2	4
76	что и	2	4
77	во всех	3	4
78	из этих	2	3
79	как это	3	3
80	есть в	2	3
81	при этом	6	3
82	но мы	4	3
83	и только	9	3
84	те же	3	3
85	и по	2	3
86	в основе	3	3
87	нуждается в	5	3
88	но как	2	3
89	только то	2	3
90	с его	7	3
91	в них	2	3
92	связанные с	2	3
93	до сих	3	3
94	один из	2	3
95	в его	4	3
96	сих пор	3	3
97	что такое	5	3
98	и его	8	3
99	ту же	2	3
100	не знает	2	3
101	отношения к	3	3
102	не менее	2	2
103	в этих	3	2
104	для этого	2	2
105	с этой	2	2
106	прежде всего	9	2
107	для нас	2	2
108	но это	2	2
109	самом деле	6	2
110	и др	3	2
111	если мы	2	2
112	все это	4	2
113	все эти	5	2
114	и наконец	4	2
115	ребенка и	3	2
116	с ними	4	2
117	с ним	2	2
118	у него	2	2
119	для всех	4	2
120	в одном	3	2
121	этом смысле	3	2
122	ступенях развития	3	2
123	по своему	2	2
124	мы уже	2	2
125	в своей	2	2
126	ее в	2	2
127	мысли и	4	2
128	только на	3	2
129	не на	2	2
130	а в	3	2
131	с другими	3	2
132	как с	2	2
133	и вообще	2	2
