N	2gram	Vinokur_Vv_1	StatiiOP
1	и в	27	29
2	том что	26	27
3	в том	31	27
4	в этом	34	21
5	но и	5	19
6	что в	11	19
7	не только	21	19
8	о том	15	17
9	что он	4	13
10	в его	10	13
11	в и	4	13
12	то что	17	11
13	все это	6	11
14	к тому	4	10
15	таким образом	19	10
16	т е	38	10
17	в своем	3	9
18	и т	43	9
19	этом отношении	3	9
20	и не	13	9
21	как на	11	9
22	потому что	14	9
23	как раз	4	8
24	но в	10	8
25	в г	5	7
26	но все	3	7
27	с тем	6	7
28	так например	6	7
29	в самом	12	7
30	в ней	3	7
31	в виду	4	7
32	в котором	4	7
33	в своей	4	7
34	вместе с	6	7
35	тому что	2	7
36	того как	3	7
37	для того	21	7
38	не столько	2	7
39	об этом	5	6
40	в одном	4	6
41	вовсе не	6	6
42	вопрос о	8	6
43	до сих	5	6
44	одним из	5	6
45	все же	8	6
46	т д	37	6
47	в течение	5	6
48	и что	4	6
49	того чтобы	21	6
50	и его	5	6
51	и на	3	6
52	о чем	4	5
53	прежде всего	8	5
54	в той	7	5
55	в качестве	7	5
56	было бы	5	5
57	обратить внимание	2	5
58	как бы	5	5
59	своего рода	3	5
60	сих пор	5	5
61	а не	3	5
62	того что	12	5
63	между тем	8	5
64	точки зрения	7	5
65	времени и	4	4
66	а как	3	4
67	речь идет	2	4
68	до того	2	4
69	именно в	8	4
70	должен был	4	4
71	в частности	3	4
72	с другой	8	4
73	но с	4	4
74	раньше чем	3	4
75	к этому	3	4
76	не в	8	4
77	после того	2	4
78	хотя и	3	4
79	работы над	6	4
80	в нем	13	4
81	дело в	3	4
82	в печати	2	4
83	внимание на	4	4
84	ничего не	2	4
85	при помощи	2	4
86	в другом	3	4
87	связи с	3	4
88	и с	2	4
89	но также	14	4
90	в общем	12	3
91	в известном	3	3
92	не менее	8	3
93	на вопрос	6	3
94	же как	3	3
95	на рубеже	2	3
96	что это	3	3
97	в этих	3	3
98	нельзя не	4	3
99	вообще не	3	3
100	с этим	2	3
101	по себе	9	3
102	не мог	2	3
103	у нас	2	3
104	так что	5	3
105	в начале	3	3
106	но не	7	3
107	до конца	3	3
108	одной из	3	3
109	например в	2	3
110	и именно	12	3
111	материал для	3	3
112	в обоих	2	3
113	никогда не	3	3
114	и даже	5	3
115	всяком случае	3	3
116	из них	3	3
117	другой стороны	5	3
118	по его	2	3
119	самом деле	6	3
120	отношений между	3	3
121	в их	11	3
122	вряд ли	2	3
123	т п	5	3
124	еще и	3	3
125	тем что	6	3
126	и сейчас	2	3
127	хотя бы	5	3
128	другое дело	3	3
129	так же	3	3
130	во всяком	3	3
131	отношении к	2	3
132	на нее	2	3
133	не до	2	2
134	в отношении	2	2
135	есть еще	2	2
136	если бы	2	2
137	и др	2	2
138	по этому	2	2
139	в них	4	2
140	что с	3	2
141	в какой	4	2
142	с этой	4	2
143	что собственно	3	2
144	в конце	3	2
145	в чисто	4	2
146	как например	5	2
147	что именно	2	2
148	той мере	4	2
149	только по	3	2
150	в тех	2	2
151	что и	3	2
152	о которых	2	2
153	тем не	8	2
154	в ее	11	2
155	говорит о	3	2
156	по существу	2	2
157	как и	5	2
158	и как	9	2
159	из его	2	2
160	должна была	2	2
161	только о	2	2
162	в этой	3	2
163	другом месте	2	2
164	в истории	9	2
165	в то	5	2
166	по своему	5	2
167	к истории	6	2
168	и сам	2	2
169	это еще	2	2
170	несмотря на	2	2
171	такого рода	2	2
172	может быть	24	2
173	во внимание	2	2
174	том же	2	2
175	а также	3	2
176	на почве	5	2
177	только в	13	2
178	не могли	2	2
179	не к	2	2
180	также и	16	2
181	ни с	2	2
182	дело не	3	2
183	со стороны	12	2
184	только что	4	2
185	по их	2	2
186	не может	13	2
187	тогда как	2	2
188	этому поводу	2	2
189	в особенности	4	2
190	истории и	4	2
191	например что	2	2
192	уже после	3	2
193	то же	8	2
194	все эти	3	2
195	при этом	3	2
196	в отличие	3	2
197	в значительной	2	2
198	что такое	10	2
199	на этот	4	2
200	принять во	2	2
201	не имеет	4	2
202	с точки	2	2
203	которой в	2	2
204	и те	2	2
205	ко времени	2	2
206	в данном	11	2
207	в результате	3	2
208	сказать что	5	2
209	мере в	4	2
210	языка в	4	2
211	для которых	3	2
212	в себе	4	2
213	этот вопрос	4	2
214	и вообще	3	2
215	его в	6	2
216	как он	6	2
217	и это	6	2
218	так как	13	2
219	только с	3	2
220	свое выражение	3	2
221	как это	5	2
222	того же	3	2
223	отличие от	3	2
224	в области	4	2
