N	2gram	Savitsky_P_1	Problemy
1	и в	14	43
2	и не	12	29
3	т е	3	26
4	может быть	5	23
5	как бы	4	22
6	не может	4	18
7	в пределах	8	16
8	но и	6	14
9	и т	3	13
10	точки зрения	3	13
11	в этом	10	13
12	в нем	3	12
13	не в	5	11
14	по себе	4	11
15	не только	17	11
16	прежде всего	3	10
17	но в	9	10
18	в его	2	10
19	то же	9	8
20	с точки	3	8
21	в то	7	7
22	то что	4	7
23	а не	2	7
24	в том	9	6
25	в котором	4	6
26	да и	2	5
27	же время	7	5
28	хотя и	3	5
29	все это	2	5
30	а в	4	5
31	и с	2	5
32	но не	3	5
33	было бы	6	5
34	никак не	2	5
35	в себе	3	5
36	что в	4	4
37	в своем	4	4
38	с другой	5	4
39	должно быть	2	4
40	в них	2	4
41	точек зрения	2	4
42	во всех	2	4
43	мы не	3	4
44	как раз	2	4
45	только в	7	4
46	и это	2	4
47	не менее	2	3
48	в отношении	10	3
49	это не	3	3
50	есть в	2	3
51	теперь в	2	3
52	между тем	3	3
53	в жизни	2	3
54	если бы	4	3
55	стороны и	2	3
56	и к	4	3
57	тот же	3	3
58	в виде	2	3
59	могут быть	3	3
60	в эту	2	3
61	слова но	2	2
62	для нас	2	2
63	и как	3	2
64	например в	2	2
65	и без	3	2
66	отношения к	2	2
67	того что	2	2
68	с ними	3	2
69	в которых	5	2
70	именно как	2	2
71	из них	2	2
72	я и	3	2
73	с этим	2	2
74	бы ни	2	2
75	одна из	2	2
76	не нужно	2	2
77	и о	5	2
78	и пр	5	2
79	но к	2	2
80	еще более	2	2
81	том что	4	2
82	хотя бы	8	2
83	отношении к	5	2
