N	2gram	Bakhtin_Pr_1	FransuaR
1	и в	29	45
2	и не	31	15
3	не только	15	14
4	в этом	22	14
5	но в	7	14
6	в его	24	13
7	и его	14	13
8	как бы	19	12
9	что в	8	12
10	в своем	8	11
11	в романе	9	11
12	то же	14	11
13	в то	10	11
14	прежде всего	7	10
15	в том	8	10
16	в нем	19	10
17	но и	14	10
18	как и	12	10
19	и с	4	10
20	же время	9	9
21	вовсе не	7	8
22	как мы	4	8
23	в ней	2	8
24	и др	5	8
25	жизни и	2	8
26	таким образом	12	8
27	в самой	6	8
28	так же	6	8
29	мира и	7	8
30	с его	9	7
31	в конце	6	7
32	том что	7	7
33	не в	7	7
34	что и	4	7
35	все это	6	7
36	потому что	8	7
37	на мир	6	7
38	всех этих	2	6
39	что он	8	6
40	в этой	4	6
41	он не	5	6
42	так и	7	6
43	мысли и	5	6
44	связи с	2	6
45	так как	6	6
46	в них	3	6
47	есть и	2	5
48	с ним	5	5
49	и к	2	5
50	это и	5	5
51	мы видим	2	5
52	но это	4	5
53	например в	3	5
54	одним из	6	5
55	как раз	6	5
56	не может	12	5
57	этом отношении	3	5
58	все эти	9	5
59	на самом	5	5
60	в себя	3	5
61	самом деле	6	5
62	и у	3	5
63	и как	7	5
64	и на	7	5
65	его в	6	5
66	перед нами	5	4
67	и во	2	4
68	и от	2	4
69	у него	5	4
70	и здесь	3	4
71	его как	4	4
72	но не	9	4
73	ничего не	5	4
74	кроме того	3	4
75	в самом	10	4
76	в сущности	5	4
77	и о	5	4
78	мы уже	2	4
79	в первой	2	4
80	в их	3	4
81	а не	22	4
82	и даже	2	4
83	как на	3	4
84	а в	7	4
85	той же	5	4
86	можно было	2	4
87	сказать что	3	4
88	в основе	4	4
89	с этим	2	4
90	точки зрения	19	4
91	только в	10	4
92	и это	5	4
93	зрения на	7	4
94	бы в	3	4
95	поэтому и	4	3
96	нисколько не	2	3
97	как в	6	3
98	это не	9	3
99	но они	2	3
100	в одной	6	3
101	мир и	5	3
102	в одном	10	3
103	ни в	3	3
104	по существу	3	3
105	для него	18	3
106	в своей	8	3
107	дело идет	5	3
108	от того	4	3
109	до сих	2	3
110	сих пор	2	3
111	что она	6	3
112	и одновременно	3	3
113	не было	4	3
114	именно в	5	3
115	на этот	2	3
116	менее всего	6	3
117	и для	4	3
118	в которых	2	3
119	но он	2	3
120	он и	5	3
121	там где	10	3
122	дело здесь	2	3
123	он знает	3	2
124	с которой	2	2
125	не могут	6	2
126	и есть	2	2
127	себя и	2	2
128	точку зрения	6	2
129	превращается в	4	2
130	хотя бы	2	2
131	перестает быть	4	2
132	в духе	3	2
133	в условиях	2	2
134	всеми своими	2	2
135	слова но	2	2
136	в отношении	2	2
137	то что	15	2
138	во все	2	2
139	в пределах	13	2
140	него не	2	2
141	в большинстве	2	2
142	ведь это	2	2
143	из его	2	2
144	но именно	3	2
145	было бы	5	2
146	несмотря на	6	2
147	друг с	2	2
148	конечно не	2	2
149	может быть	24	2
150	в уста	3	2
151	даже в	4	2
152	один из	2	2
153	в каждом	8	2
154	все же	9	2
155	благодаря этому	2	2
156	в целом	6	2
157	на него	3	2
158	и до	3	2
159	данном случае	2	2
160	во времени	3	2
161	в свете	4	2
162	на котором	3	2
163	при этом	2	2
164	но эта	4	2
165	в истории	2	2
166	и слово	3	2
167	и что	2	2
168	и наконец	4	2
169	с точки	13	2
170	к нему	6	2
171	рядом с	14	2
172	здесь с	3	2
173	сочетается с	5	2
174	в данном	2	2
175	конечно и	2	2
176	между тем	5	2
177	он в	3	2
178	одно из	2	2
179	самого автора	7	2
180	уже и	2	2
181	большинстве случаев	2	2
182	заметить что	2	2
183	нет ни	2	2
