N	2gram	Nazirov_Tr_1	Myshleni
1	в этом	9	29
2	и в	18	26
3	не только	8	24
4	то что	4	24
5	в том	2	18
6	и не	7	18
7	том что	4	17
8	потому что	2	16
9	как и	5	15
10	так же	4	14
11	в ходе	2	12
12	что в	4	12
13	и его	6	12
14	но и	4	11
15	не может	5	11
16	в самом	2	9
17	тем что	2	9
18	в себе	4	9
19	то же	5	8
20	что она	2	8
21	ребенка и	2	8
22	что он	6	8
23	тем самым	3	8
24	к тому	2	7
25	прежде всего	4	7
26	может быть	7	7
27	и то	2	7
28	вопрос о	2	6
29	как бы	7	6
30	в ее	2	6
31	и что	4	6
32	все эти	3	6
33	все же	5	6
34	что это	5	6
35	на всем	2	5
36	что с	3	5
37	до конца	2	5
38	в целом	4	5
39	данном случае	2	5
40	и с	7	5
41	как это	3	5
42	с тем	2	5
43	как говорит	2	5
44	что этот	2	5
45	в данном	2	5
46	не могут	2	4
47	никогда не	2	4
48	в конце	3	4
49	так что	2	4
50	то и	2	4
51	друг друга	2	4
52	в его	3	4
53	о том	2	4
54	но в	6	4
55	о чем	3	4
56	еще не	4	4
57	как в	3	4
58	не в	2	4
59	я не	4	3
60	все это	4	3
61	это не	5	3
62	но это	4	3
63	для него	3	3
64	мог бы	3	3
65	она все	2	3
66	имеет в	2	3
67	он не	2	3
68	что эти	2	3
69	в первом	2	3
70	с ним	3	3
71	об этом	4	3
72	о его	2	3
73	в то	5	3
74	в основном	3	3
75	что и	2	3
76	так и	5	3
77	к нему	3	3
78	в этой	4	3
79	перед нами	2	2
80	уже в	3	2
81	она должна	2	2
82	столь же	2	2
83	никто не	3	2
84	точно так	2	2
85	что все	2	2
86	только о	2	2
87	ни в	2	2
88	несмотря на	5	2
89	не мог	2	2
90	один из	3	2
91	в нем	4	2
92	с ее	3	2
93	отношение к	2	2
94	не имеет	2	2
95	должно быть	3	2
96	его в	2	2
97	но эта	2	2
98	и здесь	2	2
99	только к	2	2
100	и до	2	2
101	в отличие	2	2
102	даже если	2	2
103	говорит что	2	2
104	и он	3	2
105	и ее	2	2
106	отличие от	2	2
107	ничего не	2	2
