N	2gram	Potebnia_M_4	DiskursI
1	не только	10	28
2	в том	23	23
3	а не	12	22
4	то есть	34	20
5	том что	12	19
6	тогда как	4	19
7	может быть	26	17
8	и в	23	16
9	как и	14	16
10	в этом	23	15
11	еще не	3	14
12	но и	11	14
13	при этом	15	13
14	и не	18	11
15	с другой	2	10
16	как в	7	10
17	состоит в	2	9
18	в нем	7	9
19	отношению к	8	9
20	по отношению	10	9
21	не может	11	9
22	так и	6	8
23	о том	8	8
24	но в	8	8
25	в его	5	7
26	со стороны	3	7
27	то же	14	7
28	не было	12	7
29	в себе	14	7
30	только в	15	7
31	не в	11	7
32	в своем	8	6
33	и как	2	6
34	ни к	2	6
35	к тому	3	5
36	можно сказать	4	5
37	в силу	7	5
38	как бы	5	5
39	в котором	4	5
40	то что	29	5
41	в процессе	3	5
42	а в	5	5
43	и на	3	5
44	в данном	4	5
45	что в	17	4
46	в них	3	4
47	не как	2	4
48	и к	6	4
49	что он	4	4
50	уже не	3	4
51	для него	5	4
52	в истории	4	4
53	же время	3	4
54	связи с	3	4
55	на его	3	4
56	и о	4	4
57	отношение к	2	4
58	внимание на	5	4
59	лишь в	3	4
60	что не	6	4
61	в которых	3	4
62	потому что	33	4
63	между тем	9	4
64	могут быть	7	4
65	столь же	2	3
66	это не	7	3
67	по себе	11	3
68	что и	7	3
69	в ее	2	3
70	по своему	2	3
71	имеет свою	2	3
72	в свою	2	3
73	с этим	7	3
74	в действительности	3	3
75	в самом	3	3
76	к ним	2	3
77	один из	2	3
78	не с	2	3
79	хотя бы	4	3
80	таким образом	24	3
81	именно в	3	3
82	того что	14	3
83	должны быть	3	3
84	и даже	2	3
85	ведет к	3	3
86	в своих	2	3
87	сказать что	8	3
88	тем что	10	3
89	точки зрения	4	3
90	в то	4	3
91	тому как	2	3
92	в первом	3	3
93	и потому	10	3
94	слова в	3	2
95	известной степени	3	2
96	по мере	7	2
97	не менее	5	2
98	и есть	3	2
99	никогда не	3	2
100	мысли о	2	2
101	и без	2	2
102	по крайней	5	2
103	и все	4	2
104	в одном	4	2
105	в каждом	3	2
106	имеем дело	2	2
107	не всегда	3	2
108	для понимания	2	2
109	и относительно	2	2
110	об этом	2	2
111	к его	2	2
112	что делает	2	2
113	крайней мере	5	2
114	есть в	5	2
115	указывает на	2	2
116	было в	3	2
117	не от	3	2
118	в сущности	2	2
119	значительной степени	2	2
120	обратить внимание	2	2
121	в ряду	6	2
122	к другим	2	2
123	хотя и	5	2
124	и др	2	2
125	сами по	2	2
126	например в	3	2
127	оно не	2	2
128	и тем	4	2
129	не есть	9	2
130	своем распоряжении	2	2
131	на том	2	2
132	дело не	2	2
133	в различных	2	2
134	что же	5	2
135	данном случае	2	2
136	мысли и	7	2
137	языка и	3	2
138	хотя в	2	2
139	уже в	5	2
140	человека в	2	2
141	как мы	2	2
142	и что	7	2
143	более чем	3	2
144	в науке	3	2
145	и по	3	2
146	и его	2	2
147	говорящего и	2	2
148	языка с	3	2
149	не следует	2	2
150	во всяком	5	2
151	мы имеем	4	2
152	подобно тому	2	2
153	и вообще	2	2
154	что даже	2	2
155	же самое	4	2
156	так сказать	5	2
157	заметить что	6	2
158	в значении	3	2
159	возможно только	3	2
160	в виду	3	2
161	это было	2	2
