N	2gram	Losev_Vesc_1	Istorich
1	и в	21	25
2	и т	19	20
3	т д	19	18
4	может быть	16	17
5	т е	55	16
6	мы имеем	7	14
7	не только	36	13
8	но и	18	13
9	в его	2	12
10	и не	29	11
11	уже не	9	11
12	так как	7	11
13	все же	4	10
14	в этом	4	10
15	тем что	2	10
16	с другой	6	9
17	его в	2	9
18	и его	2	9
19	таким образом	8	9
20	с тем	5	8
21	что в	9	8
22	том что	8	8
23	мы видим	2	8
24	еще не	8	8
25	другой стороны	2	8
26	все эти	3	8
27	и что	15	8
28	а затем	2	7
29	как и	8	7
30	но это	10	7
31	то что	27	7
32	одной стороны	3	7
33	в нем	2	7
34	при помощи	2	7
35	с одной	3	7
36	потому что	16	7
37	и здесь	4	7
38	только в	14	7
39	о том	6	7
40	это не	5	6
41	прежде всего	9	6
42	что и	3	6
43	себя в	10	6
44	не может	17	6
45	не в	5	6
46	или в	2	6
47	в том	8	6
48	что это	13	5
49	ясно что	8	5
50	с этим	3	5
51	как мы	4	5
52	для нас	2	5
53	но не	5	5
54	в ней	12	5
55	мы не	6	5
56	не менее	3	4
57	если не	3	4
58	что у	5	4
59	что все	2	4
60	все еще	3	4
61	и тем	3	4
62	с другими	8	4
63	тем не	3	4
64	в ее	7	4
65	мы уже	3	4
66	из себя	3	4
67	все это	5	4
68	то же	6	4
69	есть условие	2	4
70	совершенно ясно	2	4
71	от этого	2	4
72	мы должны	2	4
73	и это	14	4
74	с ним	8	4
75	никогда не	2	3
76	и как	8	3
77	и все	5	3
78	в свою	4	3
79	в этой	3	3
80	в то	3	3
81	в себя	13	3
82	того чтобы	3	3
83	и пр	6	3
84	только один	2	3
85	то это	3	3
86	но уже	3	3
87	не знаем	2	3
88	в свете	7	3
89	на этом	2	3
90	для того	2	3
91	а в	4	3
92	в данном	5	3
93	их в	3	3
94	и с	8	3
95	е в	7	3
96	чтобы она	2	2
97	перед нами	2	2
98	у него	2	2
99	его и	2	2
100	только тогда	3	2
101	тогда когда	5	2
102	вовсе не	10	2
103	по себе	13	2
104	на то	4	2
105	можно сказать	6	2
106	так что	5	2
107	об этом	3	2
108	с этой	4	2
109	по существу	2	2
110	одна из	5	2
111	того же	5	2
112	это значит	24	2
113	она не	4	2
114	жизни и	2	2
115	если бы	5	2
116	но для	2	2
117	как бы	12	2
118	и потому	5	2
119	один из	3	2
120	должен быть	2	2
121	как можно	3	2
122	в своей	5	2
123	во всех	2	2
124	с ней	2	2
125	данном случае	2	2
126	со стороны	5	2
127	совершенно не	5	2
128	и для	9	2
129	находится в	3	2
130	самом деле	4	2
131	а не	19	2
132	того что	8	2
133	то в	4	2
134	сказать что	17	2
135	но он	2	2
136	точки зрения	5	2
137	ту же	2	2
138	что мы	14	2
139	из них	4	2
140	в свое	2	2
141	думают что	4	2
142	не потому	6	2
143	ничего не	3	2
144	или как	2	2
145	значит что	24	2
146	мы можем	4	2
