N	2gram	Medvedev_F_1	VrazhdaK
1	в году	2	18
2	у тургенева	2	11
3	не только	7	9
4	в этом	15	8
5	и что	2	8
6	и в	24	8
7	но и	7	7
8	что в	4	7
9	то что	8	7
10	и все	6	7
11	в нем	14	6
12	все же	3	6
13	и даже	3	6
14	как и	11	6
15	но в	5	6
16	и с	8	6
17	то же	10	5
18	не было	3	5
19	и не	20	5
20	между тем	2	5
21	в то	9	5
22	же время	8	5
23	в россии	3	5
24	как бы	6	4
25	все это	9	4
26	целый ряд	3	4
27	это не	2	4
28	что он	3	4
29	так же	4	4
30	с ним	2	4
31	в своих	2	4
32	может быть	14	4
33	при этом	5	4
34	в истории	4	4
35	в ней	10	4
36	с его	4	3
37	связи с	3	3
38	в своем	11	3
39	в связи	4	3
40	т е	34	3
41	в том	6	3
42	и его	10	3
43	и как	3	3
44	чтобы он	2	3
45	в его	23	3
46	его в	3	3
47	он не	3	3
48	место в	7	2
49	его с	2	2
50	в своей	11	2
51	и это	2	2
52	не менее	11	2
53	никогда не	4	2
54	вместе с	2	2
55	отнюдь не	6	2
56	его и	2	2
57	в них	3	2
58	как раз	2	2
59	не может	16	2
60	а в	6	2
61	отношения к	6	2
62	таким образом	13	2
63	но это	3	2
64	уже не	2	2
65	с точки	13	2
66	же в	3	2
67	на основе	6	2
68	в этой	6	2
69	же как	2	2
70	а н	3	2
71	точки зрения	16	2
72	в свою	8	2
73	и ее	10	2
74	в себе	3	2
75	отношение к	3	2
76	для него	3	2
77	еще не	6	2
78	в мире	4	2
79	одна из	2	2
80	в эту	2	2
81	в него	2	2
