N	2gram	Propp_Isto_4	Literetu
1	а не	6	20
2	и в	26	19
3	может быть	14	17
4	то же	8	12
5	и не	9	11
6	в том	3	10
7	как и	7	10
8	но и	12	10
9	такого рода	2	9
10	не может	6	9
11	тогда как	4	9
12	в этом	7	9
13	с другой	4	8
14	не только	15	8
15	и даже	4	8
16	том что	3	7
17	то что	16	7
18	так и	10	7
19	не менее	2	6
20	однако в	2	6
21	в себе	2	6
22	при этом	3	6
23	себя в	2	6
24	и на	2	6
25	у нас	2	5
26	одна из	2	5
27	но не	5	5
28	в качестве	7	5
29	он не	7	5
30	вместе с	6	5
31	так в	4	5
32	того что	2	5
33	что в	14	4
34	в частности	2	4
35	со мной	2	4
36	не в	5	4
37	в его	5	4
38	даже в	4	4
39	и других	3	4
40	так что	2	4
41	другой стороны	4	4
42	тем что	5	4
43	в русской	3	4
44	не случайно	2	4
45	в области	2	4
46	никогда не	2	3
47	что он	10	3
48	в нем	2	3
49	по существу	3	3
50	и как	5	3
51	но это	3	3
52	в этой	2	3
53	и он	3	3
54	и др	5	3
55	в пути	2	3
56	данном случае	3	3
57	а именно	3	3
58	так как	9	3
59	право на	2	3
60	а в	8	3
61	и его	10	3
62	и то	6	3
63	и с	5	3
64	в данном	3	3
65	в другом	5	3
66	ничего не	5	3
67	на этом	2	2
68	уже в	2	2
69	же как	13	2
70	с тем	2	2
71	у него	5	2
72	я тебя	2	2
73	с этой	2	2
74	в одном	5	2
75	все еще	3	2
76	вовсе не	4	2
77	а также	3	2
78	для нас	3	2
79	этом случае	3	2
80	а затем	3	2
81	тем не	2	2
82	ты в	2	2
83	все что	4	2
84	еще не	6	2
85	было бы	2	2
86	не по	2	2
87	в роли	2	2
88	как бы	3	2
89	что и	9	2
90	как он	6	2
91	все же	9	2
92	и т	27	2
93	же в	3	2
94	в целом	2	2
95	не к	2	2
96	из них	2	2
97	могут быть	6	2
98	и за	2	2
99	в истории	2	2
100	и только	5	2
101	власти над	3	2
102	к своему	3	2
103	уже не	5	2
104	и что	5	2
105	героя в	7	2
106	из которых	5	2
107	хотя бы	2	2
108	потому что	6	2
109	даже и	2	2
110	на себя	4	2
111	такую же	2	2
112	что я	2	2
113	о том	4	2
114	представляет собой	2	2
115	к этой	3	2
116	как это	3	2
117	могло бы	2	2
118	но в	5	2
