N	2gram	Propp_Isto_6	Mirosoze
1	и в	26	46
2	в нем	8	22
3	у него	7	22
4	может быть	11	21
5	в этом	12	20
6	никогда не	13	18
7	и не	10	18
8	не только	10	18
9	но и	9	15
10	не может	6	15
11	человека в	2	14
12	как и	5	13
13	не есть	2	13
14	а не	2	13
15	прежде всего	4	12
16	потому что	13	12
17	не было	3	11
18	в ней	5	11
19	но он	2	11
20	у нас	5	11
21	и он	4	11
22	та же	3	10
23	но в	7	10
24	он не	2	10
25	в себе	3	10
26	он был	2	9
27	не в	3	9
28	но это	4	8
29	как бы	4	8
30	в своем	2	8
31	так как	18	8
32	она не	3	8
33	на земле	4	8
34	связана с	3	7
35	в этой	2	7
36	что он	9	7
37	как в	6	7
38	вопрос о	3	6
39	что это	2	6
40	так же	2	6
41	того что	2	6
42	и там	6	6
43	жизни и	2	6
44	в народе	2	6
45	в русской	6	6
46	то же	5	5
47	и вот	3	5
48	один из	3	5
49	что она	3	5
50	это не	4	5
51	к тому	2	5
52	то что	6	5
53	в своей	3	5
54	и его	7	5
55	в его	5	5
56	и это	8	5
57	что в	12	4
58	все что	4	4
59	нет в	3	4
60	что у	2	4
61	в царстве	2	4
62	они не	3	4
63	не имеет	2	4
64	должны быть	2	4
65	самого себя	2	4
66	с его	4	4
67	том что	10	4
68	что и	4	4
69	так и	5	4
70	т е	22	4
71	уже не	7	4
72	у них	4	4
73	же как	3	3
74	и от	3	3
75	в образе	10	3
76	ни в	2	3
77	в том	12	3
78	что они	2	3
79	не так	2	3
80	в своих	3	3
81	и на	12	3
82	людей и	2	3
83	сказать что	3	3
84	и с	6	3
85	что иное	2	3
86	о том	7	3
87	его в	5	3
88	как он	6	3
89	с ним	8	3
90	если бы	3	3
91	в них	3	3
92	есть и	4	3
93	связано с	4	3
94	до сих	4	3
95	не будет	5	3
96	сих пор	4	3
97	от того	3	3
98	того как	3	3
99	тех которые	2	3
100	тем что	5	3
101	только в	5	3
102	в этих	2	2
103	не всегда	4	2
104	это означает	2	2
105	все время	2	2
106	так что	3	2
107	как у	2	2
108	на его	4	2
109	но для	2	2
110	по отношению	2	2
111	чтобы получить	2	2
112	и других	3	2
113	его не	2	2
114	а в	3	2
115	и те	2	2
116	увидим что	2	2
117	к себе	2	2
118	в более	6	2
119	приходит к	3	2
120	нет ни	2	2
121	е в	2	2
122	не будут	2	2
123	есть еще	2	2
124	него и	3	2
125	с собой	2	2
126	не означает	2	2
127	превращается в	7	2
128	его с	3	2
129	не видел	2	2
130	то он	2	2
131	себе в	4	2
132	если он	3	2
133	мы видим	5	2
134	после того	2	2
135	и что	5	2
136	еще в	3	2
137	отношению к	2	2
138	вместе с	8	2
139	ее в	6	2
140	что же	2	2
141	стоит на	2	2
142	к своему	3	2
143	что не	2	2
144	и эта	3	2
145	вот почему	3	2
146	можно было	2	2
147	от этого	3	2
148	как будто	3	2
149	которые в	2	2
150	и этим	5	2
151	ничего не	2	2
