N	2gram	Losev_Vlad_2	Myshleni
1	в том	18	28
2	и в	30	28
3	то что	20	28
4	в этом	20	27
5	того что	5	24
6	потому что	9	22
7	не может	9	19
8	том что	12	19
9	таким образом	3	18
10	что он	13	18
11	только в	6	18
12	что в	12	17
13	не только	12	16
14	так же	4	15
15	может быть	7	13
16	сказать что	11	13
17	точки зрения	7	13
18	и не	18	11
19	как бы	5	11
20	в отношении	3	10
21	к тому	2	10
22	как мы	11	10
23	но и	8	10
24	так как	5	10
25	но не	3	10
26	того чтобы	2	10
27	с точки	3	10
28	было бы	9	9
29	никогда не	7	8
30	в самом	2	8
31	мы видели	2	8
32	для того	2	8
33	того же	5	7
34	в нем	4	7
35	в сущности	2	7
36	в своем	8	7
37	заключается в	2	7
38	отношение к	4	7
39	он не	4	7
40	вместе с	8	7
41	то же	4	7
42	можно было	2	7
43	в которой	4	7
44	и к	6	6
45	так что	5	6
46	и как	3	6
47	и что	5	6
48	для него	9	6
49	не имеет	2	6
50	в то	9	6
51	когда мы	3	6
52	тогда когда	2	6
53	его в	4	6
54	как и	5	6
55	то время	6	6
56	можно сказать	4	6
57	так и	5	6
58	мы не	2	6
59	в чем	2	6
60	в области	3	6
61	это не	2	5
62	время как	2	5
63	и на	4	5
64	и все	7	5
65	но в	8	5
66	с тем	2	5
67	то в	5	5
68	том же	3	5
69	того как	2	5
70	в этой	4	5
71	не могли	3	5
72	я не	4	4
73	именно в	4	4
74	в частности	2	4
75	на то	2	4
76	мы знаем	4	4
77	не в	9	4
78	на этом	2	4
79	но что	5	4
80	на этот	4	4
81	с этим	5	4
82	друг друга	2	4
83	только тогда	2	4
84	что и	3	4
85	во всех	3	4
86	в той	2	4
87	той же	4	4
88	и то	5	4
89	в себе	6	4
90	является как	2	3
91	из этих	3	3
92	это мы	5	3
93	как это	7	3
94	прямо и	2	3
95	до конца	7	3
96	при этом	5	3
97	на его	4	3
98	хотя и	6	3
99	в целом	4	3
100	в их	2	3
101	те же	3	3
102	и по	2	3
103	в своих	2	3
104	а это	3	3
105	с его	4	3
106	должен был	3	3
107	в них	3	3
108	по себе	5	3
109	связи с	8	3
110	мы должны	4	3
111	в его	11	3
112	с ней	2	3
113	как в	3	3
114	а не	7	3
115	и его	6	3
116	отношения к	3	3
117	не менее	7	2
118	он сам	2	2
119	казалось бы	2	2
120	мыслей и	2	2
121	в этих	4	2
122	с этой	4	2
123	само собой	3	2
124	в конце	13	2
125	это в	3	2
126	прежде всего	6	2
127	для нас	7	2
128	но это	4	2
129	этот период	2	2
130	несмотря на	4	2
131	и от	2	2
132	себе и	2	2
133	в котором	5	2
134	во второй	2	2
135	все это	5	2
136	в связи	8	2
137	все эти	5	2
138	и наконец	4	2
139	эти последние	4	2
140	но он	3	2
141	приходит к	2	2
142	к его	2	2
143	с ним	5	2
144	у него	19	2
145	на котором	2	2
146	раз и	2	2
147	увидим ниже	2	2
148	у нас	6	2
149	по существу	3	2
150	последнее время	2	2
151	по своему	2	2
152	в последнее	2	2
153	она не	2	2
154	мы уже	2	2
155	в своей	5	2
156	из этого	5	2
157	что если	2	2
158	еще в	2	2
159	все же	9	2
160	мысли и	2	2
161	не на	2	2
162	а в	11	2
163	нас в	2	2
164	в данном	3	2
165	что я	3	2
166	и вообще	10	2
167	в новом	2	2
