N	2gram	Propp_Russ_1	Istorich
1	и в	36	24
2	не только	22	21
3	и т	10	17
4	т е	17	16
5	т д	9	16
6	может быть	8	14
7	не может	4	14
8	в этих	3	13
9	что в	19	13
10	мы имеем	4	12
11	как в	5	12
12	в этом	12	12
13	и здесь	2	12
14	но и	16	11
15	это не	10	10
16	у него	2	10
17	том что	19	10
18	а в	9	10
19	и что	4	10
20	мы видим	2	10
21	и другие	13	9
22	все же	5	9
23	о том	8	9
24	потому что	10	9
25	показывает что	5	8
26	еще не	4	8
27	что и	7	8
28	все это	6	8
29	то же	3	8
30	а не	2	8
31	или в	2	8
32	так как	15	8
33	с собой	4	7
34	один из	8	7
35	в том	17	7
36	одна из	4	7
37	во всех	4	7
38	то что	6	7
39	вместе с	10	7
40	таким образом	6	7
41	тем что	4	6
42	всех этих	2	6
43	об этом	9	6
44	для нас	6	6
45	как и	10	6
46	так же	3	6
47	но не	2	6
48	мы увидим	8	6
49	в нем	2	6
50	показывают что	2	6
51	того что	4	6
52	во время	14	6
53	только в	4	6
54	как он	2	6
55	что это	3	6
56	не менее	3	5
57	в тех	4	5
58	представляют собой	7	5
59	так и	7	5
60	что она	2	5
61	с ним	2	5
62	ничего не	3	5
63	видно что	6	5
64	там где	2	5
65	но в	2	5
66	что у	2	4
67	тем не	3	4
68	по существу	4	4
69	но все	3	4
70	представляет собой	4	4
71	при этом	6	4
72	после того	2	4
73	своего рода	3	4
74	как бы	5	4
75	в их	4	4
76	и не	6	4
77	не имеет	6	4
78	в других	11	4
79	мы не	6	4
80	так в	4	4
81	точки зрения	3	4
82	этого обычая	5	4
83	мы должны	2	4
84	мы можем	2	4
85	в качестве	3	3
86	в них	6	3
87	но они	3	3
88	они же	2	3
89	представление о	3	3
90	в образе	2	3
91	в различных	2	3
92	чаще всего	3	3
93	так что	2	3
94	в дальнейшем	2	3
95	что они	7	3
96	предположить что	2	3
97	после этого	4	3
98	но есть	2	3
99	например в	2	3
100	между прочим	2	3
101	следующим образом	4	3
102	когда он	2	3
103	с ней	2	3
104	в свете	2	3
105	как мы	10	3
106	должны были	2	3
107	она в	3	3
108	и по	8	3
109	но это	4	3
110	не случайно	2	3
111	хотя и	2	3
112	из этих	4	3
113	связи с	4	3
114	тогда как	2	3
115	того как	5	3
116	по этому	3	2
117	тому что	4	2
118	думать что	3	2
119	та же	2	2
120	к этому	4	2
121	этот обряд	3	2
122	их не	2	2
123	не можем	3	2
124	в целях	3	2
125	нас не	2	2
126	такое же	2	2
127	в силу	2	2
128	связаны с	3	2
129	довольно много	2	2
130	но тем	2	2
131	связанные с	3	2
132	так например	6	2
133	с целью	2	2
134	она не	2	2
135	домой и	2	2
136	нас к	2	2
137	не совсем	4	2
138	к ним	3	2
139	под землей	3	2
140	очень ясно	2	2
141	должно было	2	2
142	к ней	2	2
143	в основном	3	2
144	если в	3	2
145	и др	4	2
146	на себя	2	2
147	в отдельности	2	2
148	вплоть до	4	2
149	в связи	4	2
150	уже не	6	2
151	в особенности	2	2
152	во многих	5	2
153	не просто	2	2
154	стоит в	2	2
155	там же	5	2
156	и у	5	2
157	на этот	3	2
158	как это	8	2
159	после чего	2	2
160	что по	4	2
161	что этот	4	2
162	которые не	3	2
163	этого обряда	3	2
164	из них	8	2
165	с этим	2	2
166	и на	10	2
167	этот вопрос	2	2
168	только на	3	2
169	в один	2	2
170	все эти	2	2
171	их на	4	2
172	е в	8	2
