N	2gram	Medvedev_S_1	Psycholo
1	и в	3	38
2	то что	2	35
3	в том	5	25
4	что в	2	20
5	может быть	2	19
6	и что	2	18
7	том что	2	14
8	как бы	2	14
9	и мы	2	13
10	в этом	5	13
11	было бы	2	12
12	не только	3	12
13	таким образом	2	12
14	не в	3	12
15	то же	2	10
16	для нас	3	8
17	должна быть	2	5
18	но и	2	5
19	в его	3	5
20	только в	2	4
21	как будто	2	4
22	как только	2	3
23	главным образом	2	3
24	она может	2	3
25	все это	7	3
26	и только	3	3
27	далеко не	2	3
28	как же	3	2
29	по существу	2	2
30	очевидно что	2	2
31	дело не	2	2
32	в конце	2	2
