N	2gram	Propp_Morf_1	Vladivir
1	и в	13	40
2	то что	8	28
3	и не	12	25
4	не только	4	25
5	учение о	3	24
6	но и	4	18
7	в том	6	18
8	том что	4	18
9	что в	8	17
10	также и	4	17
11	в этом	14	16
12	не может	14	14
13	точки зрения	2	13
14	вовсе не	4	13
15	в виде	2	13
16	только в	2	13
17	сказать что	2	12
18	таким образом	21	11
19	потому что	3	11
20	о том	2	11
21	прежде всего	9	10
22	тем не	5	10
23	то это	3	10
24	не менее	5	9
25	уже не	2	9
26	что же	2	9
27	в этой	2	8
28	может быть	52	8
29	так же	3	8
30	и что	2	8
31	он не	3	8
32	а также	4	8
33	как мы	6	8
34	а не	11	8
35	к тому	4	7
36	и как	5	7
37	несмотря на	4	7
38	хотя и	3	7
39	а в	7	7
40	так как	16	7
41	с тем	2	7
42	того что	3	7
43	в то	3	7
44	что и	7	7
45	как и	3	7
46	и здесь	5	6
47	смысле слова	4	6
48	об этом	4	6
49	то в	3	6
50	так и	6	6
51	хотя бы	4	6
52	с точки	2	6
53	но это	6	6
54	значит что	3	6
55	с другой	8	5
56	для нас	2	5
57	совсем не	3	5
58	но если	7	5
59	все эти	2	5
60	что он	4	5
61	у нас	2	5
62	или менее	2	5
63	можно было	2	5
64	тем что	4	5
65	более или	2	5
66	ничего не	4	5
67	тому что	4	4
68	вопрос о	7	4
69	на то	2	4
70	в глаза	2	4
71	возникает вопрос	2	4
72	от того	3	4
73	не имеет	2	4
74	в результате	7	4
75	мы должны	3	4
76	при помощи	9	4
77	как это	3	4
78	не с	2	4
79	по существу	12	4
80	но не	4	4
81	есть и	4	4
82	то время	3	4
83	еще не	3	4
84	было бы	3	4
85	то же	7	4
86	а с	2	4
87	если мы	5	4
88	в каком	2	4
89	все же	7	4
90	но в	2	4
91	перед нами	10	3
92	независимо от	3	3
93	в качестве	5	3
94	то ни	3	3
95	это не	6	3
96	но все	3	3
97	заметим что	2	3
98	но для	2	3
99	как бы	3	3
100	всяком случае	2	3
101	в настоящее	3	3
102	и тем	2	3
103	к нему	3	3
104	бы то	3	3
105	то как	2	3
106	в связи	9	3
107	настоящее время	3	3
108	или не	3	3
109	но вот	2	3
110	в россии	2	3
111	мы имеем	9	3
112	этого не	2	3
113	если бы	2	3
114	же в	2	3
115	оно не	2	3
116	не все	6	3
117	даже не	3	3
118	на самом	4	3
119	того чтобы	3	3
120	не в	3	3
121	и для	2	3
122	во всяком	2	3
123	далеко не	5	3
124	здесь не	2	3
125	это было	3	3
126	не могут	4	2
127	мы будем	3	2
128	ни к	2	2
129	в нашем	3	2
130	в этих	13	2
131	то можно	2	2
132	в какой	3	2
133	здесь же	3	2
134	что его	2	2
135	путь к	2	2
136	чем это	2	2
137	не является	3	2
138	в целом	3	2
139	и за	2	2
140	что она	2	2
141	который в	2	2
142	другой стороны	4	2
143	и по	2	2
144	друг друга	3	2
145	время как	3	2
146	но как	2	2
147	в начале	3	2
148	самого себя	2	2
149	что мы	2	2
150	его в	2	2
151	не существует	3	2
152	с его	2	2
153	с этим	11	2
154	к этому	3	2
155	но мы	3	2
156	а и	3	2
157	и к	4	2
158	на первый	3	2
159	а то	3	2
160	она не	2	2
161	из них	3	2
162	дается в	2	2
163	наряду с	5	2
164	в сущности	3	2
165	но оно	2	2
166	со стороны	3	2
167	быть и	2	2
168	на него	3	2
169	только что	2	2
170	не на	2	2
171	заметить что	8	2
172	для того	2	2
173	мы не	8	2
174	если они	2	2
175	как например	2	2
176	в другом	2	2
177	связи с	10	2
178	без всякой	2	2
179	что эта	2	2
180	в в	2	2
181	а если	4	2
182	в которой	3	2
