N	2gram	Propp_Isto_5	TeoriaLi
1	не только	13	18
2	в качестве	7	17
3	и не	11	16
4	а в	3	14
5	в частности	7	13
6	и в	25	13
7	может быть	17	12
8	представляет собой	7	11
9	в этом	10	11
10	в том	6	11
11	но не	5	10
12	а не	2	10
13	и его	9	10
14	в его	12	9
15	то же	4	9
16	что в	8	8
17	отношению к	2	8
18	но и	13	8
19	по отношению	2	8
20	себя в	6	7
21	том что	8	7
22	в данном	3	7
23	точки зрения	2	7
24	в то	3	7
25	только в	7	7
26	еще не	8	6
27	как бы	2	6
28	в русской	3	6
29	в ее	4	5
30	как и	7	5
31	не в	6	5
32	в пределах	4	5
33	в нем	7	5
34	данном случае	2	5
35	как в	6	5
36	он не	4	5
37	уже не	11	5
38	с другой	9	5
39	мы имеем	14	5
40	героя и	3	5
41	не менее	4	4
42	в свою	3	4
43	можно сказать	2	4
44	в своей	2	4
45	то что	7	4
46	в форме	3	4
47	не может	6	4
48	на смену	4	4
49	сказать что	2	4
50	но он	2	4
51	перед нами	2	3
52	и др	3	3
53	никогда не	3	3
54	в этих	6	3
55	прежде всего	6	3
56	тем не	4	3
57	того что	2	3
58	и сам	2	3
59	например в	5	3
60	и потому	2	3
61	другой стороны	8	3
62	так в	2	3
63	входит в	5	3
64	таким образом	9	3
65	и что	8	3
66	и по	2	3
67	или в	6	3
68	потому что	7	3
69	в этой	3	3
70	его в	9	3
71	все эти	8	3
72	герой не	3	3
73	о чем	2	2
74	если бы	2	2
75	могут быть	6	2
76	того же	2	2
77	это не	6	2
78	вовсе не	2	2
79	по себе	2	2
80	что он	22	2
81	об этом	2	2
82	мы легко	2	2
83	и как	3	2
84	одной стороны	7	2
85	а на	2	2
86	из которых	2	2
87	к его	2	2
88	здесь мы	5	2
89	в роли	3	2
90	даже в	2	2
91	и тем	4	2
92	к нему	3	2
93	в целом	3	2
94	во всех	2	2
95	вместе с	22	2
96	со стороны	2	2
97	а именно	4	2
98	и для	2	2
99	с одной	7	2
100	от себя	2	2
101	в себя	3	2
102	так же	5	2
103	роль в	2	2
104	их в	3	2
105	у него	2	2
106	на себя	3	2
107	и здесь	7	2
108	о том	7	2
109	и это	4	2
110	в которой	4	2
111	это было	2	2
