N	3gram	Medvedev_F_2	Problemy
1	в то же	5	12
2	то же время	5	12
3	на самом деле	3	10
4	с самого начала	2	8
5	и т п	9	6
6	не может быть	10	6
7	во всяком случае	5	5
8	и в то	3	5
9	в этом смысле	2	4
10	с точки зрения	7	4
11	и прежде всего	2	4
12	в самом деле	5	3
13	в конце концов	2	3
14	и не в	2	3
15	с другой стороны	3	3
16	в высшей степени	4	3
17	все без исключения	2	2
18	ни в чем	2	2
19	и в этом	5	2
20	так и в	3	2
21	и т д	5	2
22	в большинстве случаев	3	2
23	в отличие от	2	2
24	и не может	3	2
25	как мы видели	4	2
26	не входит в	2	2
27	как раз и	3	2
28	вместе с тем	4	2
29	что в нем	2	2
30	как мы знаем	2	2
31	к тому чтобы	2	2
