N	2gram	Nazirov_Vr_1	FransuaR
1	и в	8	65
2	как бы	4	22
3	и не	5	22
4	и т.п	2	17
5	в том	3	16
6	в этом	8	15
7	но в	6	14
8	в нем	6	13
9	и его	3	10
10	не только	9	10
11	но и	7	10
12	в его	3	9
13	все это	4	9
14	в своем	3	8
15	и даже	6	8
16	его в	3	7
17	точки зрения	2	7
18	никогда не	2	6
19	том что	3	6
20	все же	6	6
21	еще не	2	6
22	при этом	4	6
23	может быть	4	6
24	в ней	4	6
25	в году	18	6
26	и у	3	6
27	с его	3	5
28	в них	2	5
29	рядом с	2	5
30	для него	2	5
31	в своей	2	5
32	как и	6	5
33	в той	2	5
34	в своих	4	5
35	между тем	5	5
36	и все	7	5
37	связи с	3	4
38	это в	2	4
39	в этой	2	4
40	отношение к	2	4
41	из них	2	4
42	для нас	4	4
43	во время	2	4
44	что в	7	3
45	это не	4	3
46	и во	3	3
47	что он	4	3
48	но это	2	3
49	о нем	6	3
50	с точки	2	3
51	то что	7	3
52	как раз	2	3
53	не может	2	3
54	уже не	2	3
55	в себе	2	3
56	далеко не	3	3
57	но как	2	3
58	с ним	4	3
59	и с	6	3
60	в виду	4	3
61	во многом	4	2
62	начиная с	2	2
63	и образы	2	2
64	же в	2	2
65	он был	3	2
66	в романе	6	2
67	в это	2	2
68	и он	2	2
69	несмотря на	4	2
70	наряду с	3	2
71	он не	3	2
72	его на	2	2
73	отношения к	2	2
74	одним из	3	2
75	к себе	2	2
76	который был	3	2
77	их в	2	2
78	о том	4	2
79	и это	2	2
80	в чем	3	2
