N	2gram	Losev_Vesc_1	Literetu
1	а не	19	20
2	и в	21	19
3	может быть	16	17
4	то же	6	12
5	и не	29	11
6	в том	8	10
7	как и	8	10
8	но и	18	10
9	не может	17	9
10	в этом	4	9
11	в то	3	9
12	с другой	6	8
13	не только	36	8
14	и даже	6	8
15	том что	8	7
16	то что	27	7
17	так и	3	7
18	с одной	3	7
19	я в	2	7
20	слова и	5	7
21	не менее	3	6
22	в себе	14	6
23	одной стороны	3	6
24	себя в	10	6
25	я не	4	5
26	у нас	7	5
27	одна из	5	5
28	но не	5	5
29	того что	8	5
30	что в	9	4
31	тех кто	2	4
32	в сфере	4	4
33	прежде всего	9	4
34	не в	5	4
35	отнюдь не	5	4
36	того же	5	4
37	для него	4	4
38	в ней	12	4
39	в его	2	4
40	один из	3	4
41	жизни и	2	4
42	так что	5	4
43	другой стороны	2	4
44	мы не	6	4
45	тем что	2	4
46	точки зрения	5	4
47	не случайно	2	4
48	я и	6	4
49	перестает быть	3	3
50	никогда не	2	3
51	в себя	13	3
52	в нем	2	3
53	по существу	2	3
54	и как	8	3
55	но это	10	3
56	в этой	3	3
57	в сущности	4	3
58	во всех	2	3
59	не с	7	3
60	данном случае	2	3
61	со стороны	5	3
62	то и	4	3
63	и для	9	3
64	как я	4	3
65	так как	7	3
66	но с	2	3
67	с точки	3	3
68	а в	4	3
69	и его	2	3
70	и то	10	3
71	и с	8	3
72	в данном	5	3
73	как к	4	3
74	в другом	2	3
75	ничего не	3	3
76	на этом	2	2
77	ни было	4	2
78	с тем	5	2
79	у него	2	2
80	себя и	4	2
81	для этого	4	2
82	с этой	4	2
83	по крайней	4	2
84	в конце	2	2
85	в виду	2	2
86	в одном	2	2
87	в жизни	3	2
88	все еще	3	2
89	вовсе не	10	2
90	из того	2	2
91	о которой	2	2
92	крайней мере	4	2
93	для нас	2	2
94	в ее	7	2
95	а затем	2	2
96	тем не	3	2
97	одно и	5	2
98	и без	3	2
99	тот же	3	2
100	еще не	8	2
101	было бы	14	2
102	свидетельствует о	3	2
103	свое время	2	2
104	как бы	12	2
105	в свое	2	2
106	не вполне	2	2
107	себе не	3	2
108	для себя	5	2
109	что и	3	2
110	все же	4	2
111	с ее	6	2
112	и т	19	2
113	но уже	3	2
114	из них	4	2
115	то как	2	2
116	по преимуществу	2	2
117	мысли и	3	2
118	я вижу	2	2
119	как раз	9	2
120	и только	3	2
121	быть не	4	2
122	той же	2	2
123	все равно	2	2
124	но только	3	2
125	уже не	9	2
126	и что	15	2
127	для того	2	2
128	что не	5	2
129	хотя бы	6	2
130	то с	3	2
131	то в	4	2
132	в результате	3	2
133	потому что	16	2
134	в основе	3	2
135	даже и	4	2
136	подобно тому	4	2
137	и еще	2	2
138	что я	24	2
139	ту же	2	2
140	о том	6	2
141	в россии	2	2
142	тому как	4	2
143	как это	2	2
144	с ним	8	2
145	себя как	2	2
146	но в	5	2
