N	2gram	Nazirov_Tv_2	Vvedenie
1	и т	13	42
2	т д	11	36
3	и в	20	32
4	в том	8	31
5	в этом	8	30
6	может быть	8	26
7	том что	4	26
8	не только	13	22
9	таким образом	10	19
10	то что	3	16
11	потому что	7	15
12	так как	3	15
13	не может	7	14
14	в самом	3	13
15	в нем	3	13
16	о том	5	13
17	в их	3	12
18	и не	9	12
19	в его	10	12
20	только в	2	12
21	в ее	2	11
22	что в	7	10
23	но в	4	9
24	в истории	2	9
25	между тем	3	9
26	то же	7	9
27	не менее	2	8
28	с другой	2	8
29	это не	7	8
30	не в	4	8
31	именно в	6	8
32	прежде всего	8	7
33	но не	5	7
34	все же	5	7
35	самом деле	2	7
36	до сих	3	6
37	же время	7	6
38	один из	3	6
39	но и	8	6
40	все это	6	6
41	и даже	5	6
42	в то	10	6
43	его в	3	6
44	вовсе не	2	6
45	как и	6	6
46	сих пор	3	6
47	и его	9	6
48	этот вопрос	3	6
49	тем что	3	6
50	в руки	2	6
51	и это	3	6
52	уже в	2	5
53	так что	2	5
54	так например	3	5
55	на этот	2	5
56	но если	2	5
57	как бы	11	5
58	в целом	6	5
59	другой стороны	2	5
60	одним из	3	5
61	в которых	3	5
62	об этом	4	5
63	вместе с	3	5
64	т п	2	5
65	а не	6	5
66	что не	3	5
67	могут быть	2	5
68	с этой	3	4
69	как о	2	4
70	всяком случае	2	4
71	в котором	3	4
72	по отношению	3	4
73	и что	2	4
74	а в	4	4
75	но ведь	2	4
76	по крайней	2	4
77	что он	6	4
78	еще не	5	4
79	крайней мере	2	4
80	отношению к	3	4
81	в своей	6	4
82	в виде	2	4
83	уже не	3	4
84	во всяком	2	4
85	и ее	2	4
86	в себе	3	4
87	только с	2	4
88	за собой	4	3
89	он сам	3	3
90	зависит от	2	3
91	и есть	2	3
92	в частности	2	3
93	в конце	6	3
94	в известной	4	3
95	в этой	5	3
96	при этом	8	3
97	хотя и	4	3
98	нет сомнений	2	3
99	из них	2	3
100	что она	4	3
101	все эти	4	3
102	и других	2	3
103	так же	5	3
104	и на	5	3
105	говорить о	2	3
106	в начале	3	3
107	при помощи	2	3
108	уже после	2	3
109	если бы	4	3
110	к этому	3	3
111	в чем	4	3
112	одной из	3	3
113	в одном	2	3
114	своего рода	3	3
115	может служить	2	3
116	и вообще	2	3
117	все время	2	2
118	же как	3	2
119	казалось бы	3	2
120	это уже	2	2
121	никогда не	11	2
122	но зато	3	2
123	в дальнейшем	4	2
124	но это	5	2
125	соответствии с	4	2
126	и сам	5	2
127	и др	3	2
128	не было	2	2
129	в принципе	4	2
130	рядом с	2	2
131	не столько	2	2
132	и с	8	2
133	традиции и	3	2
134	так и	6	2
135	ни к	2	2
136	романов достоевского	5	2
137	влечет за	2	2
138	по самой	3	2
139	у нас	2	2
140	в соответствии	4	2
141	самой своей	3	2
142	известной мере	2	2
143	том же	2	2
144	человеческой культуры	2	2
145	в этот	2	2
146	но уже	3	2
147	критики и	2	2
148	него в	2	2
149	д в	3	2
150	и тогда	2	2
151	тогда как	3	2
152	мы не	4	2
153	познания и	2	2
154	одна из	3	2
155	ничего не	4	2
156	не могли	2	2
