N	2gram	Voloshinov_1	Literetu
1	а не	2	20
2	и в	13	19
3	может быть	8	17
4	своего рода	2	13
5	то же	4	12
6	и не	8	11
7	и т.п	7	10
8	в том	2	10
9	как и	3	10
10	но и	3	10
11	не может	8	9
12	в этом	2	9
13	с другой	2	8
14	не только	6	8
15	том что	2	7
16	то что	6	7
17	так и	3	7
18	с одной	2	7
19	и т.д	5	7
20	слова и	2	7
21	не менее	2	6
22	в себе	3	6
23	одной стороны	2	6
24	при этом	2	6
25	на фоне	4	5
26	что в	3	4
27	прежде всего	9	4
28	не в	3	4
29	для него	2	4
30	в ней	2	4
31	в его	7	4
32	еще в	2	4
33	другой стороны	2	4
34	мы не	4	4
35	по отношению	3	4
36	тем что	2	4
37	точки зрения	7	4
38	в искусстве	3	4
39	в области	2	4
40	никогда не	3	3
41	в поэзии	5	3
42	в нем	2	3
43	и др	2	3
44	отношению к	3	3
45	данном случае	2	3
46	в их	3	3
47	и для	3	3
48	так как	3	3
49	с точки	5	3
50	а в	2	3
51	и его	12	3
52	и то	3	3
53	не столько	3	3
54	всей своей	2	3
55	в данном	2	3
56	в другом	2	3
57	уже в	2	2
58	не является	4	2
59	в них	2	2
60	с этой	2	2
61	в одном	3	2
62	в каждом	4	2
63	вовсе не	2	2
64	и к	2	2
65	а также	2	2
66	в ее	3	2
67	одно и	3	2
68	тот же	2	2
69	было бы	4	2
70	наконец в	2	2
71	как бы	6	2
72	для себя	2	2
73	в руках	2	2
74	все же	5	2
75	в целом	2	2
76	могут быть	2	2
77	и наконец	5	2
78	хотя бы	5	2
79	в своих	2	2
80	соответствии с	2	2
81	но в	4	2
