N	2gram	Ircho_Kome_2	Dialekti
1	и не	14	30
2	может быть	11	20
3	и в	26	19
4	не только	7	19
5	и т	2	17
6	то что	6	14
7	что она	2	14
8	в том	11	14
9	как бы	2	14
10	так как	4	14
11	потому что	6	14
12	вовсе не	2	13
13	но и	10	12
14	то же	3	12
15	точки зрения	4	12
16	и все	2	12
17	что это	4	10
18	ни в	5	10
19	как и	4	10
20	в нем	6	10
21	так и	12	10
22	том что	9	10
23	это не	2	10
24	не может	3	9
25	прежде всего	4	8
26	не в	2	8
27	в этом	10	8
28	в своей	3	8
29	как это	4	7
30	и к	2	7
31	что в	9	7
32	время как	2	7
33	как будто	4	7
34	так что	5	7
35	что он	5	6
36	да и	3	6
37	отнюдь не	2	6
38	в то	6	6
39	но не	3	6
40	жизни и	3	6
41	с другой	2	5
42	же время	3	5
43	в силу	2	5
44	по своему	2	5
45	в самом	4	5
46	что и	7	5
47	и это	2	5
48	и что	2	5
49	и его	12	5
50	говорить о	2	5
51	только в	4	5
52	о том	6	5
53	и с	5	5
54	в виду	2	5
55	уже в	4	4
56	независимо от	5	4
57	и есть	2	4
58	в своем	6	4
59	ясно что	8	4
60	в одном	2	4
61	в ее	2	4
62	все же	4	4
63	то время	3	4
64	еще не	6	4
65	и если	2	4
66	к нему	3	4
67	он не	2	4
68	хотя бы	2	4
69	связи с	3	4
70	от того	2	4
71	все это	3	4
72	в связи	3	4
73	тут же	2	4
74	таким образом	6	4
75	а в	3	4
76	в одной	2	4
77	одно из	2	4
78	как он	3	4
79	не менее	4	3
80	о чем	3	3
81	все время	2	3
82	в этих	4	3
83	в это	2	3
84	и от	4	3
85	сразу же	4	3
86	вопрос о	3	3
87	это время	3	3
88	об этом	2	3
89	как мы	4	3
90	в этой	3	3
91	было бы	8	3
92	даже в	2	3
93	тех пор	3	3
94	важно что	4	3
95	из них	7	3
96	и их	3	3
97	с этим	5	3
98	не было	3	3
99	мы имеем	2	3
100	мы находим	2	3
101	в той	2	3
102	после этого	2	3
103	от этого	2	3
104	в один	2	3
105	его в	4	3
106	же не	2	3
107	это было	4	3
108	на сцену	3	2
109	в частности	4	2
110	что у	4	2
111	в какой	2	2
112	в конце	2	2
113	и жизнь	2	2
114	в тех	3	2
115	то это	2	2
116	к тому	12	2
117	что на	3	2
118	же в	4	2
119	только потому	2	2
120	с самого	2	2
121	но все	3	2
122	в истории	5	2
123	ведь мы	2	2
124	с тем	5	2
125	как известно	2	2
126	до сих	2	2
127	на сцене	2	2
128	не по	4	2
129	в ней	3	2
130	всяком случае	2	2
131	если в	2	2
132	так или	3	2
133	говоря уже	2	2
134	сих пор	2	2
135	себя в	3	2
136	в мире	2	2
137	как не	2	2
138	и я	2	2
139	во всех	3	2
140	не говоря	2	2
141	в каждом	3	2
142	в их	3	2
143	тому что	4	2
144	в изображении	2	2
145	т п	2	2
146	например в	3	2
147	того как	3	2
148	с одной	2	2
149	как в	3	2
150	времени в	2	2
151	бы и	2	2
152	также что	2	2
153	или в	3	2
154	или иначе	3	2
155	с ними	2	2
156	между тем	4	2
157	тем что	3	2
158	или на	2	2
159	во время	6	2
160	во всяком	2	2
161	уже о	2	2
162	в которой	5	2
163	что по	2	2
164	но в	3	2
165	сомневаться в	2	2
166	вместе с	9	2
167	на этом	2	2
