N	2gram	Tiupa_Vved_1	Sovremen
1	не может	7	17
2	может быть	18	12
3	таким образом	4	11
4	мы не	4	9
5	не можем	2	7
6	в этом	21	7
7	и в	13	7
8	и не	12	6
9	как и	11	6
10	в результате	3	6
11	мы можем	2	6
12	что же	3	5
13	прежде всего	7	5
14	и наконец	2	5
15	как бы	4	4
16	мы видели	2	4
17	в целом	3	4
18	жизни и	7	4
19	это не	6	4
20	а в	6	4
21	не только	20	4
22	в том	10	4
23	их в	2	4
24	все же	6	3
25	отнюдь не	7	3
26	между собой	2	3
27	то же	5	3
28	в нем	5	3
29	а не	15	3
30	и к	2	3
31	для нас	2	3
32	не в	6	3
33	одна из	4	3
34	еще не	7	3
35	при этом	26	3
36	было бы	4	3
37	и т.д	5	3
38	и все	4	3
39	как он	2	3
40	в первом	2	3
41	в себе	5	3
42	в области	3	3
43	но в	6	3
44	так сказать	2	2
45	не менее	4	2
46	быть и	2	2
47	в нашем	6	2
48	приводит к	2	2
49	то и	2	2
50	в отличие	2	2
51	из этих	3	2
52	с одной	5	2
53	как мы	3	2
54	уже не	5	2
55	в свою	4	2
56	или иной	3	2
57	самом деле	3	2
58	что такое	18	2
59	и по	3	2
60	тем не	3	2
61	свою очередь	4	2
62	времени и	7	2
63	а на	2	2
64	могут быть	4	2
65	что в	3	2
66	говорить о	2	2
67	такого рода	16	2
68	в самом	2	2
69	о жизни	2	2
70	отличие от	2	2
71	в его	4	2
