N	3gram	Vinokur_Ku_1	Marksizm
1	с точки зрения	9	13
2	не может быть	3	10
3	то же время	2	8
4	в то же	2	8
5	по отношению к	8	8
6	в связи с	3	7
7	в том что	15	6
8	для того чтобы	15	6
9	в самом деле	7	5
10	в свою очередь	3	5
11	и того же	2	4
12	одного и того	2	4
13	в русском языке	4	4
14	на самом деле	2	4
15	отсюда следует что	2	3
16	к тому что	2	3
17	о том что	5	3
18	до сих пор	4	3
19	по крайней мере	5	2
20	том что он	4	2
21	более или менее	3	2
22	того или иного	3	2
23	на то что	2	2
24	в зависимости от	5	2
25	во всяком случае	5	2
26	хотя бы в	4	2
