N	2gram	Berdyaev_N_1	Dialekti
1	не есть	3	40
2	и не	11	30
3	и в	16	18
4	может быть	7	17
5	в нем	5	16
6	и есть	10	16
7	ни в	6	15
8	не имеет	4	15
9	значит что	4	14
10	а не	17	14
11	потому что	4	14
12	что в	9	13
13	то что	4	13
14	не только	5	13
15	и даже	2	13
16	и что	2	12
17	в этом	7	12
18	не может	16	12
19	все это	5	11
20	в себе	2	11
21	прежде всего	4	10
22	что такое	3	10
23	сказать что	3	10
24	никогда не	6	9
25	это не	4	9
26	в том	8	9
27	это есть	7	9
28	так и	2	9
29	том что	2	9
30	но это	6	8
31	не существует	3	7
32	но и	3	7
33	что она	2	7
34	с другой	3	6
35	хотя бы	2	6
36	она не	3	6
37	не было	4	6
38	не в	6	6
39	в то	2	6
40	но в	2	6
41	я не	2	5
42	и мы	4	5
43	и пр	3	5
44	а в	2	5
45	можно было	2	5
46	и с	2	5
47	к тому	3	4
48	быть может	4	4
49	это и	2	4
50	но не	2	4
51	хотя и	2	4
52	так же	2	4
53	другой стороны	2	4
54	мы говорим	2	4
55	о том	4	4
56	как это	2	4
57	к богу	2	3
58	в них	4	3
59	думать что	2	3
60	этом смысле	2	3
61	должна быть	3	3
62	в одну	2	3
63	от бога	6	3
64	ли это	2	3
65	конечно не	3	3
66	не хотят	2	3
67	он не	8	3
68	не значит	3	3
69	и потому	4	3
70	нем нет	2	3
71	жизни и	8	3
72	но она	2	3
73	мысли и	2	3
74	должно быть	4	3
75	в основе	3	3
76	в ней	5	3
77	могут быть	2	3
78	и все	4	3
79	ни к	2	2
80	не менее	4	2
81	же как	2	2
82	не знает	6	2
83	как в	3	2
84	и от	2	2
85	вопрос о	3	2
86	быть в	2	2
87	мы живем	5	2
88	в мире	3	2
89	как и	7	2
90	такой же	2	2
91	еще не	3	2
92	одной стороны	2	2
93	к ним	3	2
94	исторической эпохи	3	2
95	помнить что	2	2
96	как не	8	2
97	для чего	2	2
98	в своей	3	2
99	для этого	2	2
100	с этим	2	2
101	с одной	2	2
102	все эти	2	2
103	в эпоху	9	2
104	уже не	2	2
105	и для	4	2
106	стремится к	3	2
107	мысли в	2	2
108	меня это	2	2
109	и это	2	2
110	время как	2	2
111	это было	3	2
