N	2gram	Trubetskoy_1	VelikijI
1	и не	8	20
2	и в	26	16
3	то что	7	9
4	так как	9	9
5	еще не	2	8
6	от бога	2	8
7	к богу	3	8
8	и потому	6	7
9	а не	5	7
10	бога и	4	5
11	в мире	5	5
12	как бы	12	5
13	религиозного сознания	6	5
14	но и	9	5
15	все это	6	5
16	того что	3	5
17	что все	4	4
18	в образе	2	4
19	что он	4	4
20	в нем	4	4
21	все что	2	4
22	что мы	2	4
23	в котором	4	4
24	так и	6	4
25	добра и	2	4
26	потому что	7	4
27	в этом	15	4
28	и все	2	4
29	в его	5	4
30	с его	2	3
31	если не	2	3
32	что в	9	3
33	в этих	4	3
34	в них	2	3
35	превращается в	2	3
36	они в	2	3
37	в конце	6	3
38	в том	11	3
39	не в	2	3
40	тот же	2	3
41	к тому	6	3
42	во всех	2	3
43	никогда не	5	3
44	что и	6	3
45	жизни и	2	3
46	не было	2	3
47	лишь в	5	3
48	и что	4	3
49	не имеет	5	3
50	хотя бы	3	3
51	и для	5	3
52	все эти	6	3
53	но в	7	3
54	не могут	2	2
55	с тем	18	2
56	религиозное сознание	2	2
57	прежде всего	2	2
58	под разными	2	2
59	том что	7	2
60	но не	8	2
61	не к	2	2
62	конечно не	2	2
63	для него	3	2
64	того чтобы	5	2
65	вслед за	2	2
66	без бога	3	2
67	не только	10	2
68	один из	2	2
69	не с	2	2
70	и люди	2	2
71	и тогда	4	2
72	а с	7	2
73	уже не	3	2
74	его не	2	2
75	а в	4	2
76	людей и	2	2
77	между тем	2	2
78	богу и	2	2
79	только в	4	2
80	и это	2	2
81	во всяком	6	2
