N	2gram	Tiupa_Hudo_2	VerxiiNi
1	и в	28	26
2	вместе с	2	15
3	в этом	13	15
4	точки зрения	2	13
5	как бы	5	12
6	в том	15	11
7	может быть	8	10
8	не только	11	10
9	и с	6	10
10	из этих	2	10
11	что в	5	9
12	но и	9	9
13	с другой	3	8
14	но не	4	8
15	и не	18	8
16	и у	2	8
17	как на	2	8
18	том что	19	7
19	одной стороны	3	7
20	из них	2	7
21	к нему	3	7
22	то что	6	7
23	а с	3	7
24	с одной	3	7
25	потому что	2	7
26	но в	2	7
27	к тому	7	6
28	несмотря на	3	6
29	что и	4	6
30	все же	2	6
31	так и	8	6
32	все это	3	6
33	с точки	2	6
34	в себе	9	6
35	и т.д	2	6
36	о том	12	6
37	и к	2	5
38	тому же	2	5
39	отношение к	2	5
40	до сих	2	5
41	одной из	3	5
42	в его	11	5
43	никогда не	5	5
44	сих пор	2	5
45	так же	3	5
46	лишь в	2	5
47	а не	14	5
48	того чтобы	4	5
49	для того	4	5
50	и для	2	5
51	в мире	7	5
52	в этих	3	4
53	и от	2	4
54	что все	3	4
55	что он	8	4
56	в нем	3	4
57	в самом	5	4
58	в котором	6	4
59	не может	4	4
60	и только	2	4
61	а в	6	4
62	то же	6	4
63	и тогда	2	4
64	с другими	3	4
65	в виде	2	4
66	он не	4	4
67	в то	6	4
68	только в	4	4
69	в этой	5	4
70	не менее	5	3
71	же как	2	3
72	и другие	5	3
73	что это	5	3
74	если бы	6	3
75	как о	3	3
76	хотя бы	2	3
77	можно сказать	6	3
78	для него	5	3
79	в своем	5	3
80	в качестве	4	3
81	и о	4	3
82	если в	2	3
83	тем не	4	3
84	отношению к	7	3
85	при этом	11	3
86	уже не	10	3
87	в других	4	3
88	в одном	3	3
89	с его	5	2
90	только не	2	2
91	именно в	2	2
92	состоит в	7	2
93	одно из	5	2
94	в них	3	2
95	превращается в	4	2
96	только для	2	2
97	не как	2	2
98	но при	3	2
99	прежде всего	3	2
100	или иной	2	2
101	ему в	2	2
102	а также	2	2
103	все что	3	2
104	же время	4	2
105	когда же	2	2
106	еще не	3	2
107	мысль о	2	2
108	вслед за	4	2
109	с того	2	2
110	говорили о	2	2
111	один из	2	2
112	не с	2	2
113	жизни и	6	2
114	приводит к	2	2
115	не было	6	2
116	у всех	3	2
117	те же	2	2
118	в глазах	6	2
119	и на	3	2
120	сказать что	2	2
121	не в	13	2
122	различия между	2	2
123	не могла	5	2
124	же самое	3	2
125	и все	7	2
126	и это	3	2
127	между тем	8	2
