N	2gram	Bakhtin_Fr_8	DiskursI
1	в себе	4	19
2	при этом	4	17
3	в качестве	4	16
4	и в	56	16
5	может быть	3	16
6	как и	5	16
7	в этом	14	16
8	и не	9	15
9	а не	2	14
10	в частности	7	12
11	и т.п	11	12
12	то есть	24	12
13	в мире	2	11
14	но и	9	11
15	но в	6	11
16	том что	8	10
17	не только	8	10
18	своего рода	5	10
19	так и	13	9
20	не может	2	9
21	в том	13	8
22	а также	3	8
23	прежде всего	6	7
24	в нем	8	7
25	ни в	2	7
26	но не	5	7
27	картины мира	2	7
28	в данном	2	7
29	с его	5	6
30	еще не	10	6
31	все же	2	6
32	в своей	2	6
33	данном случае	2	6
34	то же	11	6
35	в своих	4	6
36	по своей	4	6
37	что в	5	5
38	в своем	3	5
39	с другой	2	5
40	нового времени	2	5
41	хвала и	3	5
42	же время	10	5
43	для него	2	5
44	то что	3	5
45	и на	7	5
46	в то	12	5
47	в одном	2	4
48	к этому	2	4
49	к его	3	4
50	в пределах	5	4
51	одной стороны	2	4
52	как бы	11	4
53	времени в	3	4
54	с одной	4	4
55	картина мира	2	4
56	роль в	5	4
57	потому что	6	4
58	в основе	4	4
59	точки зрения	6	4
60	в этой	6	4
61	и то	2	4
62	о том	4	4
63	мира и	2	4
64	перед нами	3	3
65	на рубеже	3	3
66	в этих	11	3
67	в них	11	3
68	это не	2	3
69	и все	6	3
70	мире в	2	3
71	уже не	3	3
72	и как	2	3
73	не в	3	3
74	здесь в	3	3
75	можно сказать	2	3
76	например в	4	3
77	он не	5	3
78	той или	2	3
79	в его	18	3
80	в котором	2	3
81	из них	2	3
82	и ее	4	3
83	не было	5	3
84	все эти	15	3
85	и наконец	3	3
86	также и	2	3
87	и его	12	3
88	но это	2	3
89	в другом	3	3
90	только в	9	3
91	его в	2	3
92	в творчестве	5	3
93	никогда не	5	2
94	не подлежит	3	2
95	в большинстве	7	2
96	это в	2	2
97	момент в	2	2
98	что на	2	2
99	интерес к	2	2
100	в той	6	2
101	что он	2	2
102	такой же	5	2
103	времени и	4	2
104	с их	2	2
105	в ней	4	2
106	далеко не	2	2
107	что и	3	2
108	с ее	5	2
109	с точки	2	2
110	это мир	2	2
111	время в	3	2
112	вместе с	2	2
113	не на	3	2
114	на языке	2	2
115	по преимуществу	2	2
116	все это	8	2
117	другой стороны	2	2
118	и для	2	2
119	а в	2	2
120	той же	6	2
121	хвалы и	4	2
122	в результате	5	2
123	их в	4	2
124	и с	8	2
125	дело в	2	2
126	в области	5	2
127	между тем	3	2
