N	2gram	Savitsky_P_1	StatiiOP
1	и в	14	44
2	в том	9	36
3	и т	3	30
4	что в	4	30
5	том что	4	29
6	в этом	10	21
7	то что	4	18
8	не только	17	18
9	было бы	6	17
10	а в	4	17
11	и не	12	16
12	а не	2	16
13	т е	3	15
14	может быть	5	15
15	в области	11	14
16	не в	5	12
17	точки зрения	3	11
18	для того	3	10
19	но и	6	10
20	но в	9	10
21	только в	7	10
22	в отношении	10	9
23	с другой	5	9
24	но также	4	9
25	если бы	4	9
26	в то	7	9
27	того что	2	9
28	в его	2	9
29	например в	2	8
30	во всех	2	8
31	из них	2	8
32	не может	4	8
33	это не	3	8
34	с точки	3	8
35	прежде всего	3	7
36	в статье	2	7
37	для нас	2	7
38	потому что	3	6
39	д д	2	6
40	со стороны	2	6
41	именно в	2	6
42	хотя бы	8	6
43	не менее	2	5
44	что мы	3	5
45	в котором	4	5
46	в нем	3	5
47	все это	2	5
48	то же	9	5
49	в которых	5	5
50	могут быть	3	5
51	в частности	2	4
52	столь же	3	4
53	в ее	2	4
54	же время	7	4
55	тем более	2	4
56	в качестве	9	4
57	как раз	2	4
58	как бы	4	4
59	в россии	3	4
60	не было	2	4
61	еще более	2	4
62	заключается в	3	4
63	и с	2	3
64	да и	2	3
65	в начале	2	3
66	но не	3	3
67	и без	3	3
68	в ней	6	3
69	и тем	2	3
70	в виде	2	3
71	с одной	3	3
72	е с	6	3
73	культуры в	2	3
74	между тем	3	3
75	с этим	2	3
76	том числе	2	2
77	г и	2	2
78	в своем	4	2
79	п о	5	2
80	есть в	2	2
81	одной стороны	3	2
82	между прочим	2	2
83	и потому	4	2
84	а также	4	2
85	если в	2	2
86	отношения к	2	2
87	и и	2	2
88	тем самым	3	2
89	более чем	2	2
90	мы не	3	2
91	думать что	2	2
92	в себе	3	2
93	говорить о	2	2
94	нужно было	2	2
95	и это	2	2
