N	2gram	Potebnia_M_2	Dialekti
1	не есть	6	40
2	и не	19	30
3	по себе	15	25
4	и т	6	21
5	т д	3	19
6	и в	24	18
7	может быть	23	17
8	в нем	9	16
9	и есть	2	16
10	так что	10	15
11	не имеет	6	15
12	а не	18	14
13	потому что	49	14
14	что в	16	13
15	то что	20	13
16	не только	15	13
17	если бы	11	12
18	было бы	13	12
19	и что	4	12
20	в этом	8	12
21	не может	12	12
22	что это	3	11
23	что он	4	11
24	как бы	9	11
25	все это	2	11
26	в себе	10	11
27	так как	10	11
28	прежде всего	7	10
29	есть нечто	3	10
30	то же	12	10
31	что такое	2	10
32	сказать что	2	10
33	никогда не	4	9
34	это не	3	9
35	в том	18	9
36	так и	5	9
37	том что	8	9
38	и то	3	9
39	стало быть	4	9
40	сама по	2	8
41	но это	3	8
42	в каком	3	8
43	вовсе не	9	7
44	и как	6	7
45	но и	9	7
46	что она	3	7
47	мы находим	2	7
48	что не	5	7
49	с другой	6	6
50	хотя бы	2	6
51	ни с	2	6
52	не было	6	6
53	не в	13	6
54	его не	3	6
55	в то	6	6
56	и образ	2	6
57	в чем	7	6
58	с ним	5	6
59	не то	2	6
60	но в	4	6
61	сам по	4	6
62	в этих	3	5
63	на то	5	5
64	она есть	2	5
65	но если	2	5
66	себе не	4	5
67	не с	3	5
68	все же	5	5
69	общего с	2	5
70	что оно	4	5
71	есть только	6	5
72	а в	8	5
73	само по	2	5
74	или не	5	5
75	мы должны	2	5
76	по крайней	5	4
77	быть может	7	4
78	во всяком	7	4
79	крайней мере	5	4
80	мы видим	2	4
81	но не	12	4
82	от него	4	4
83	же время	2	4
84	одно и	2	4
85	хотя и	3	4
86	в котором	4	4
87	то это	3	4
88	так же	2	4
89	другой стороны	2	4
90	мы говорим	3	4
91	и притом	3	4
92	мы можем	12	4
93	к ней	2	4
94	и вообще	3	4
95	о том	5	4
96	как он	4	4
97	как это	2	4
98	для меня	4	4
99	что ни	2	3
100	всех этих	2	3
101	тому что	2	3
102	в них	5	3
103	думать что	3	3
104	этом смысле	2	3
105	есть не	5	3
106	что и	11	3
107	а только	8	3
108	только потому	2	3
109	красный цвет	2	3
110	что они	5	3
111	более или	8	3
112	но что	2	3
113	потом уже	2	3
114	по направлению	2	3
115	отношении к	2	3
116	в его	2	3
117	и потому	2	3
118	если в	3	3
119	его с	2	3
120	один из	2	3
121	но только	2	3
122	но она	3	3
123	отношения к	2	3
124	указывает на	2	3
125	или менее	8	3
126	в самом	4	3
127	но все	2	3
128	на самом	2	3
129	самом деле	2	3
130	только что	3	3
131	должно быть	2	3
132	что для	3	3
133	света и	2	3
134	ничем не	2	3
135	в ней	3	3
136	могут быть	8	3
137	даже и	2	3
138	только в	11	3
139	или нет	3	3
140	и все	3	3
141	бы в	2	3
142	в сознании	23	3
143	на этом	2	2
144	не менее	5	2
145	того что	7	2
146	по мере	5	2
147	или что	2	2
148	того кто	3	2
149	как в	10	2
150	не как	3	2
151	эти последние	2	2
152	и от	3	2
153	из этих	4	2
154	точно так	9	2
155	с другими	5	2
156	в каждом	2	2
157	к этому	2	2
158	вопрос о	2	2
159	о которых	3	2
160	ни было	3	2
161	как и	7	2
162	и при	3	2
163	такой же	4	2
164	что если	6	2
165	свет и	4	2
166	и другое	4	2
167	связанные с	2	2
168	для него	10	2
169	до сих	4	2
170	только тогда	3	2
171	еще не	4	2
172	одной стороны	3	2
173	только как	6	2
174	и может	3	2
175	для того	5	2
176	вслед за	3	2
177	и следовательно	2	2
178	же путем	2	2
179	относится к	3	2
180	помнить что	3	2
181	всяком случае	7	2
182	мог бы	3	2
183	для нее	2	2
184	как не	3	2
185	из них	5	2
186	и их	5	2
187	сих пор	4	2
188	со стороны	3	2
189	и тогда	3	2
190	как например	3	2
191	т п	3	2
192	не зная	2	2
193	с этим	7	2
194	а с	2	2
195	с одной	4	2
196	все эти	2	2
197	если мы	3	2
198	отличное от	2	2
199	уже не	4	2
200	и у	3	2
201	и для	3	2
202	об одном	3	2
203	мысли в	3	2
204	это что	2	2
205	между собою	7	2
206	с ними	3	2
207	то мы	2	2
208	то и	9	2
209	в другом	2	2
210	во всем	2	2
211	могла бы	3	2
212	или по	2	2
213	говоря о	3	2
214	и это	2	2
215	то не	3	2
216	заметить что	6	2
217	на деле	3	2
218	если это	2	2
219	время как	4	2
220	если и	2	2
221	это было	2	2
