N	2gram	Bakhtin_KF_1	Myslijsy
1	потому что	2	49
2	для нас	4	31
3	и в	24	24
4	может быть	45	23
5	в сознании	2	23
6	то что	7	20
7	и не	26	19
8	а не	17	18
9	в том	6	18
10	что в	4	16
11	по себе	2	15
12	не только	5	15
13	при этом	4	13
14	было бы	8	13
15	не в	12	13
16	но не	12	12
17	не может	27	12
18	то же	5	12
19	если бы	8	11
20	что и	7	11
21	мы не	3	11
22	только в	16	11
23	для него	8	10
24	в себе	21	10
25	как в	2	10
26	тогда когда	3	10
27	независимо от	3	9
28	вовсе не	7	9
29	в нем	28	9
30	как бы	9	9
31	но и	9	9
32	а в	4	8
33	том что	4	8
34	и на	3	8
35	в этом	14	8
36	могут быть	3	8
37	прежде всего	2	7
38	во всех	11	7
39	как и	5	7
40	того что	3	7
41	тем что	3	7
42	в чем	4	7
43	в одном	4	6
44	не есть	20	6
45	и того	2	6
46	и как	2	6
47	в свою	3	6
48	только как	4	6
49	тем не	2	6
50	не было	8	6
51	не имеет	5	6
52	между тем	4	6
53	в то	3	6
54	этого слова	2	6
55	и только	6	6
56	слова в	2	5
57	не менее	3	5
58	с ним	5	5
59	что не	3	5
60	о том	3	5
61	и их	6	5
62	так и	2	5
63	бы не	3	5
64	от того	3	5
65	для того	3	5
66	все же	5	5
67	место в	5	4
68	никогда не	5	4
69	что он	2	4
70	уже не	7	4
71	еще не	4	4
72	в котором	24	4
73	если не	2	4
74	тем самым	4	4
75	от него	3	4
76	там где	5	4
77	с тем	2	4
78	но в	5	4
79	для меня	20	4
80	что это	3	3
81	это не	10	3
82	оно не	2	3
83	не как	4	3
84	и все	7	3
85	думать что	2	3
86	ни было	4	3
87	только по	2	3
88	и может	3	3
89	кажется что	2	3
90	но это	6	3
91	в ней	3	3
92	не имеем	3	3
93	его в	5	3
94	и тем	3	3
95	в целом	10	3
96	со стороны	7	3
97	быть не	2	3
98	и для	9	3
99	бы быть	5	3
100	рядом с	3	3
101	с ними	3	3
102	и то	2	3
103	в каком	4	3
104	могла бы	4	3
105	в каждом	3	2
106	и весь	2	2
107	всех этих	3	2
108	время и	5	2
109	этом смысле	3	2
110	и есть	9	2
111	ни был	2	2
112	из себя	8	2
113	и его	17	2
114	хотя бы	4	2
115	и это	12	2
116	в жизни	2	2
117	предмета в	2	2
118	к этому	2	2
119	вопрос о	2	2
120	не должно	3	2
121	пространство и	2	2
122	не дает	3	2
123	но все	5	2
124	все эти	10	2
125	совсем не	2	2
126	же время	2	2
127	знать что	2	2
128	оба эти	2	2
129	его на	2	2
130	в его	40	2
131	и потому	2	2
132	себя и	2	2
133	для нее	7	2
134	его с	2	2
135	один из	2	2
136	все это	10	2
137	вытекает из	2	2
138	что есть	2	2
139	чего не	2	2
140	что за	2	2
141	а с	2	2
142	и других	2	2
143	на самом	3	2
144	в себя	7	2
145	от себя	10	2
146	самом деле	3	2
147	того чтобы	2	2
148	должно быть	6	2
149	по отношению	26	2
150	и здесь	7	2
151	тем как	3	2
152	тому что	2	2
153	предмет как	2	2
154	что только	2	2
155	быть только	8	2
156	в другом	3	2
157	во всем	7	2
158	отношении к	2	2
159	как оно	2	2
160	а это	2	2
161	это было	2	2
