N	2gram	Bakhtin_Pr_1	Tragedij
1	и в	29	18
2	в романе	9	10
3	в этом	22	9
4	не только	15	8
5	он сам	3	7
6	и не	31	7
7	достоевский в	6	7
8	и на	7	7
9	и с	4	7
10	может быть	24	7
11	как бы	19	7
12	что он	8	6
13	и его	14	6
14	же время	9	6
15	у него	5	6
16	но в	7	6
17	все же	9	5
18	так и	7	5
19	это не	9	5
20	не может	12	5
21	то же	14	5
22	как и	12	5
23	у достоевского	16	5
24	в то	10	5
25	несмотря на	6	5
26	но и	14	4
27	то что	15	4
28	в целом	6	4
29	что в	8	4
30	все это	6	4
31	я не	3	4
32	прежде всего	7	4
33	в нем	19	4
34	и даже	2	4
35	так же	6	4
36	том что	7	4
37	но это	4	4
38	в этой	4	4
39	и что	2	4
40	достоевский не	3	4
41	в себе	7	4
42	еще не	5	4
43	уже в	3	3
44	один из	2	3
45	достоевского в	12	3
46	в своем	8	3
47	романа и	3	3
48	в конце	6	3
49	как в	6	3
50	все эти	9	3
51	и как	7	3
52	к нему	6	3
53	должно быть	4	3
54	в его	24	3
55	для него	18	3
56	при этом	2	3
57	и сам	2	3
58	как будто	3	3
59	в мире	6	3
60	с ним	5	3
61	перед нами	5	2
62	и до	3	2
63	не могут	6	2
64	но они	2	2
65	что и	4	2
66	как же	4	2
67	раз и	4	2
68	данном случае	2	2
69	романах достоевского	5	2
70	но этого	2	2
71	то и	2	2
72	романа достоевского	12	2
73	а как	7	2
74	вопрос о	2	2
75	если б	2	2
76	но эта	4	2
77	для достоевского	5	2
78	уже не	13	2
79	бы и	4	2
80	с его	9	2
81	отношение к	2	2
82	роман достоевского	12	2
83	и здесь	3	2
84	ни в	3	2
85	в том	8	2
86	до конца	8	2
87	друг друга	3	2
88	но все	5	2
89	так что	2	2
90	не в	7	2
91	в данном	2	2
92	одна из	3	2
93	потому что	8	2
94	тем что	4	2
95	он и	5	2
96	и ее	2	2
97	ивана карамазова	4	2
98	его в	6	2
99	и это	5	2
100	в самом	10	2
101	ничего не	5	2
102	он не	5	2
103	в одном	10	2
104	что она	6	2
105	никогда не	3	2
106	автора но	2	2
