N	2gram	Bakhtin_fo_1	Russkaja
1	не может	6	22
2	и не	14	19
3	в том	9	17
4	в этом	25	17
5	и в	50	14
6	то что	6	13
7	самим собой	2	12
8	таким образом	11	11
9	то же	11	11
10	точки зрения	5	11
11	же время	9	10
12	но и	8	10
13	в то	9	10
14	том что	4	9
15	не только	9	9
16	в себе	3	9
17	с точки	2	9
18	может быть	11	9
19	во всяком	3	9
20	прежде всего	15	8
21	того чтобы	5	8
22	ни к	3	7
23	отнюдь не	5	7
24	к тому	3	7
25	в данном	2	7
26	мы должны	2	7
27	и с	4	7
28	если бы	5	6
29	и к	2	6
30	с тем	3	6
31	для него	2	6
32	для того	5	6
33	для всех	2	6
34	все это	4	6
35	в своем	4	6
36	и для	4	6
37	себя и	3	5
38	между собой	4	5
39	жизни в	8	5
40	хотя бы	2	5
41	он должен	2	5
42	вопрос о	2	5
43	и на	8	5
44	или иной	2	5
45	при этом	3	5
46	до сих	3	5
47	было бы	2	5
48	конечно не	4	5
49	в своей	2	5
50	он не	5	5
51	никогда не	2	5
52	в нем	24	5
53	сих пор	3	5
54	во всех	6	5
55	по существу	12	5
56	а в	3	5
57	потому что	4	5
58	только в	4	5
59	но не	5	4
60	не могут	3	4
61	что в	5	4
62	тогда когда	2	4
63	как и	8	4
64	как бы	2	4
65	себе и	3	4
66	все же	6	4
67	жизни и	8	4
68	вместе с	3	4
69	в их	6	4
70	точку зрения	2	4
71	не в	5	4
72	и то	4	4
73	во всем	2	4
74	в его	13	4
75	его в	3	4
76	так как	6	4
77	для них	3	3
78	именно в	3	3
79	в конце	9	3
80	что все	2	3
81	всех этих	5	3
82	да и	3	3
83	и как	10	3
84	лишь в	6	3
85	в качестве	3	3
86	еще не	5	3
87	в самом	8	3
88	мы говорили	3	3
89	одной из	3	3
90	той или	2	3
91	и потому	3	3
92	что и	3	3
93	и т	8	3
94	борьбе с	2	3
95	только к	3	3
96	не было	7	3
97	в значительной	2	3
98	того что	2	3
99	и по	2	3
100	друг друга	3	3
101	или в	3	3
102	тем что	2	3
103	и во	7	3
104	связи с	6	3
105	одна из	2	3
106	в порядке	3	2
107	место в	2	2
108	в частности	6	2
109	у него	6	2
110	друг другу	2	2
111	его и	2	2
112	с этим	6	2
113	к себе	4	2
114	ясно что	2	2
115	по себе	2	2
116	ни в	8	2
117	разумеется что	2	2
118	уже не	2	2
119	их к	2	2
120	совершенно не	2	2
121	по самому	2	2
122	но для	2	2
123	в ней	4	2
124	и является	2	2
125	в котором	4	2
126	на почве	2	2
127	для себя	7	2
128	на этой	4	2
129	не к	2	2
130	для нас	2	2
131	в некоторых	2	2
132	время в	6	2
133	весьма часто	2	2
134	быть и	2	2
135	но она	2	2
136	ее в	2	2
137	даже не	2	2
138	всем этим	3	2
139	по отношению	3	2
140	отношения к	3	2
141	в течение	2	2
142	все эти	9	2
143	только на	3	2
144	а не	3	2
145	и даже	2	2
146	так же	6	2
147	в других	9	2
148	и те	3	2
149	в таком	3	2
150	том же	2	2
151	в результате	6	2
152	их в	3	2
153	не о	2	2
154	на себя	2	2
155	с самим	5	2
156	мы уже	11	2
157	в начале	3	2
158	если они	2	2
159	в этих	3	2
160	с ним	2	2
161	но в	10	2
