N	2gram	Tiupa_Lite_1	Sovremen
1	не может	5	17
2	точки зрения	6	12
3	может быть	13	12
4	таким образом	3	11
5	в этом	12	7
6	и в	8	7
7	и не	12	6
8	как и	6	6
9	прежде всего	11	5
10	все эти	2	5
11	с точки	2	5
12	как бы	7	4
13	в целом	8	4
14	жизни и	3	4
15	это не	4	4
16	а в	3	4
17	не только	24	4
18	же это	2	4
19	в том	16	4
20	из них	4	4
21	уже в	5	3
22	все же	4	3
23	отнюдь не	2	3
24	в конце	4	3
25	то же	5	3
26	в нем	2	3
27	а не	16	3
28	не в	8	3
29	в этой	4	3
30	одна из	3	3
31	так называемых	2	3
32	еще не	4	3
33	при этом	19	3
34	было бы	2	3
35	как он	2	3
36	в себе	7	3
37	следующим образом	2	3
38	в области	3	3
39	но в	3	3
40	не менее	7	2
41	и есть	3	2
42	у него	3	2
43	приводит к	3	2
44	то и	2	2
45	в отличие	5	2
46	из этих	2	2
47	тем же	3	2
48	с одной	2	2
49	уже не	7	2
50	или иной	2	2
51	самом деле	2	2
52	роль в	2	2
53	что такое	2	2
54	и даже	3	2
55	тем не	2	2
56	той же	3	2
57	во всяком	3	2
58	на этом	2	2
59	могут быть	2	2
60	что в	3	2
61	такого рода	10	2
62	в самом	3	2
63	отличие от	5	2
64	в его	7	2
65	всяком случае	2	2
