N	2gram	Potebnia_M_4	Marksizm
1	может быть	26	28
2	и в	23	19
3	как бы	5	19
4	и не	18	19
5	не может	11	18
6	в процессе	3	18
7	точки зрения	4	17
8	то же	14	16
9	и его	2	16
10	языка и	3	15
11	как мы	2	15
12	в этом	23	15
13	таким образом	24	14
14	лишь в	3	14
15	в сущности	2	14
16	так сказать	5	14
17	не только	10	13
18	с точки	3	13
19	связи с	3	13
20	в нем	7	11
21	если бы	13	11
22	вовсе не	7	11
23	не в	11	10
24	но и	11	10
25	том что	12	10
26	так и	6	10
27	для него	5	9
28	при этом	15	9
29	как и	14	9
30	самом деле	3	9
31	а не	12	9
32	слова в	3	8
33	же время	3	8
34	по отношению	10	8
35	в то	4	8
36	отношению к	8	8
37	только в	15	8
38	никогда не	3	7
39	в том	23	7
40	его в	4	7
41	но в	8	7
42	и более	4	7
43	в языке	16	7
44	на самом	3	7
45	и для	2	7
46	в таком	4	7
47	в смысле	3	6
48	к тому	3	6
49	и как	2	6
50	в свою	2	6
51	того чтобы	4	6
52	в самом	3	6
53	и следовательно	3	6
54	и значение	3	6
55	же самое	4	6
56	и все	4	6
57	между тем	9	6
58	мы уже	3	6
59	слова и	5	6
60	быть и	2	6
61	и значением	4	6
62	если мы	2	6
63	для того	6	6
64	хотя бы	4	6
65	мы можем	10	6
66	самого начала	2	5
67	в большинстве	2	5
68	к нему	5	5
69	так же	4	5
70	и на	3	5
71	и здесь	2	5
72	большинстве случаев	2	5
73	в его	5	5
74	этого слова	7	5
75	в той	4	5
76	в данном	4	5
77	тем более	5	5
78	тому что	2	4
79	это не	7	4
80	на то	7	4
81	по мере	7	4
82	то что	29	4
83	и тем	4	4
84	и их	3	4
85	влияние на	2	4
86	того что	14	4
87	с ними	3	4
88	сказать что	8	4
89	бы в	2	4
90	а как	2	4
91	из одного	3	4
92	что он	4	4
93	было бы	8	4
94	конечно не	2	4
95	данного слова	2	4
96	только на	4	4
97	в слове	22	4
98	в себе	14	4
99	не существует	2	3
100	каждый раз	4	3
101	в этих	3	3
102	язык не	5	3
103	столь же	2	3
104	с другой	2	3
105	в двух	2	3
106	для понимания	2	3
107	да и	4	3
108	здесь мы	2	3
109	в ней	2	3
110	если б	4	3
111	в котором	4	3
112	в каком	4	3
113	а в	5	3
114	с этим	7	3
115	все эти	3	3
116	не имеет	5	3
117	должно быть	5	3
118	от одного	3	3
119	языка в	2	3
120	не было	12	3
121	в истории	4	3
122	о том	8	3
123	так как	14	3
124	слово в	4	3
125	таком случае	2	3
126	к которым	3	3
127	не как	2	3
128	по себе	11	3
129	в различных	2	3
130	в ее	2	3
131	у нас	2	3
132	до сих	4	3
133	еще не	3	3
134	он не	2	3
135	слово для	3	3
136	и до	3	3
137	что и	7	3
138	не есть	9	3
139	не будет	3	3
140	мысли и	7	3
141	только что	3	3
142	слово и	3	3
143	той же	3	3
144	с другими	4	3
145	и то	5	3
146	во всяком	5	3
147	могут быть	7	3
148	и это	2	3
149	сих пор	4	3
150	уже в	5	2
151	независимо от	6	2
152	что в	17	2
153	что это	7	2
154	все более	3	2
155	в нашем	2	2
156	иное как	2	2
157	вопрос о	2	2
158	его к	2	2
159	но что	2	2
160	не так	2	2
161	и у	2	2
162	значительной степени	2	2
163	они могут	2	2
164	всяком случае	3	2
165	другими словами	8	2
166	настоящего времени	2	2
167	в своем	8	2
168	именно в	3	2
169	и даже	2	2
170	можем сказать	2	2
171	друг друга	2	2
172	не следует	2	2
173	в более	2	2
174	и с	4	2
175	по крайней	5	2
176	даже и	3	2
177	допустим что	5	2
178	к его	2	2
179	одно слово	5	2
180	то есть	34	2
181	стремится к	2	2
182	самого говорящего	2	2
183	значение и	2	2
184	не с	2	2
185	и о	4	2
186	и потому	10	2
187	крайней мере	5	2
188	его значения	2	2
189	и прежде	2	2
190	бы не	3	2
191	выражения как	2	2
192	еще более	2	2
193	что не	6	2
194	должны быть	3	2
195	в речи	3	2
196	ко всем	3	2
197	между ними	4	2
198	чтобы понять	2	2
199	мы не	8	2
200	говорящего и	2	2
201	то мы	3	2
202	тем что	10	2
203	в виде	2	2
204	более и	2	2
205	если же	4	2
206	там где	3	2
207	от него	2	2
208	из него	2	2
209	это было	2	2
210	вместе с	6	2
