N	2gram	Medvedev_S_1	VLabPisa
1	таким образом	2	27
2	в этом	5	26
3	и в	3	25
4	не только	3	22
5	может быть	2	21
6	в его	3	15
7	в том	5	13
8	в частности	2	12
9	все это	7	12
10	что в	2	9
11	но и	2	9
12	то же	2	9
13	том что	2	7
14	было бы	2	7
15	отношению к	2	7
16	по отношению	2	7
17	это и	2	6
18	то что	2	6
19	главным образом	2	6
20	в результате	2	5
21	очевидно что	2	5
22	как бы	2	5
23	только в	2	5
24	не в	3	5
25	в конце	2	3
26	по существу	2	3
27	далеко не	2	3
28	и заключается	2	2
29	еще не	2	2
30	конце концов	2	2
