N	2gram	Vinokur_St_2	Myshleni
1	в том	27	42
2	том что	27	35
3	в процессе	2	27
4	таким образом	10	25
5	точки зрения	5	24
6	в этом	21	24
7	в качестве	5	21
8	и в	29	20
9	что в	19	19
10	то же	2	16
11	то что	11	15
12	не только	19	15
13	что они	2	14
14	с другой	4	12
15	при этом	2	12
16	в их	3	12
17	потому что	9	12
18	может быть	2	12
19	так же	3	11
20	в его	13	11
21	с точки	2	11
22	того что	5	10
23	в истории	2	10
24	так как	2	10
25	в отношении	2	10
26	в себе	2	10
27	только в	2	10
28	и другие	2	9
29	и как	2	9
30	но и	19	9
31	другой стороны	3	9
32	между тем	5	9
33	как это	2	9
34	как и	2	9
35	того же	2	9
36	что и	2	9
37	и не	9	8
38	и что	6	8
39	в результате	2	8
40	было бы	5	8
41	вместе с	7	8
42	и более	2	7
43	как бы	5	7
44	этом отношении	9	7
45	в своей	7	7
46	самом деле	3	7
47	а не	5	7
48	того чтобы	6	7
49	тем что	3	7
50	к тому	10	6
51	тому же	3	6
52	же как	3	6
53	такого рода	2	6
54	в самом	7	6
55	не может	2	6
56	и на	6	6
57	сказать что	2	6
58	его в	2	6
59	с тем	7	6
60	что он	13	6
61	в частности	4	5
62	никогда не	3	5
63	раньше чем	4	5
64	на то	2	5
65	что такое	2	5
66	не является	3	5
67	только не	2	5
68	если бы	2	5
69	и его	6	5
70	с этим	3	5
71	и к	4	5
72	все же	6	5
73	о том	17	5
74	речь идет	4	5
75	так и	9	5
76	как в	3	5
77	для того	7	5
78	все эти	2	5
79	тому что	7	4
80	в своем	9	4
81	что с	2	4
82	из них	3	4
83	и те	2	4
84	с этой	2	4
85	как он	2	4
86	и с	4	4
87	к этому	4	4
88	по своему	2	4
89	только что	2	4
90	в речи	4	4
91	тем же	2	4
92	не в	4	4
93	во всяком	3	4
94	в области	2	4
95	не менее	3	3
96	в этих	3	3
97	в какой	2	3
98	так что	3	3
99	в этой	2	3
100	к истории	2	3
101	одной из	3	3
102	в виду	7	3
103	всяком случае	3	3
104	со стороны	2	3
105	то обстоятельство	4	3
106	именно в	4	3
107	на его	2	3
108	обстоятельство что	4	3
109	но в	8	3
110	идет о	3	3
111	по существу	2	3
112	но не	3	3
113	как известно	2	3
114	в один	2	3
115	только к	2	3
116	в обоих	3	3
117	внимание на	4	3
118	совершенно не	2	3
119	на этот	2	3
120	ни в	3	3
121	связи с	4	3
122	что эта	3	3
123	в которой	11	3
124	на всем	2	2
125	прежде всего	5	2
126	что на	3	2
127	для него	4	2
128	случае не	2	2
129	что это	3	2
130	одним из	6	2
131	в ней	7	2
132	в нем	4	2
133	не по	2	2
134	в отличие	2	2
135	относятся к	3	2
136	они не	2	2
137	не имеет	2	2
138	факт что	6	2
139	вообще не	3	2
140	также и	2	2
141	в данном	2	2
142	и здесь	3	2
143	в начале	3	2
144	том смысле	2	2
145	в известном	3	2
146	но они	2	2
147	это слово	3	2
148	а затем	2	2
149	с той	2	2
150	том же	2	2
151	никак не	2	2
152	которую он	2	2
153	а также	2	2
154	даже в	2	2
155	раз в	2	2
156	как говорит	2	2
157	и речи	2	2
158	в языке	5	2
159	тогда как	2	2
160	того как	7	2
161	а с	3	2
162	если не	2	2
163	в той	5	2
164	по пути	2	2
165	и он	3	2
166	что этот	2	2
167	в каком	2	2
168	даны в	2	2
169	и это	2	2
170	в значении	4	2
171	отличие от	2	2
172	которые не	3	2
