N	2gram	Bakhtin_sl_2	Myshleni
1	в том	5	28
2	и в	39	28
3	то что	2	28
4	в этом	16	27
5	не может	20	19
6	том что	5	19
7	таким образом	8	18
8	что он	2	18
9	только в	5	18
10	что в	3	17
11	не только	24	16
12	может быть	37	13
13	с помощью	4	13
14	сказать что	3	13
15	точки зрения	8	13
16	в сфере	2	12
17	и не	22	11
18	как бы	7	11
19	в отношении	4	10
20	как мы	7	10
21	но и	21	10
22	по отношению	4	10
23	так как	4	10
24	но не	6	10
25	отношению к	4	10
26	того чтобы	2	10
27	с точки	3	10
28	в процессе	13	9
29	никогда не	7	8
30	мы видели	2	8
31	еще не	7	8
32	для того	2	8
33	в нем	19	7
34	в сущности	6	7
35	в своем	6	7
36	мышления и	5	7
37	и других	4	7
38	что оно	4	7
39	отношение к	4	7
40	он не	2	7
41	вместе с	2	7
42	то же	4	7
43	там где	6	7
44	и к	6	6
45	и как	3	6
46	для него	7	6
47	в то	4	6
48	тогда когда	2	6
49	его в	4	6
50	как и	6	6
51	так и	15	6
52	мы не	2	6
53	в чем	3	6
54	в области	2	6
55	не могут	5	5
56	это не	5	5
57	в пределах	13	5
58	в свете	3	5
59	языка и	9	5
60	и на	4	5
61	и все	5	5
62	но в	6	5
63	речи и	3	5
64	в зависимости	4	5
65	зависимости от	4	5
66	того как	2	5
67	могут быть	7	5
68	именно в	2	4
69	в нашем	2	4
70	не в	9	4
71	на этом	3	4
72	например в	5	4
73	с этим	2	4
74	они не	2	4
75	оно не	8	4
76	что и	3	4
77	во всех	12	4
78	в той	4	4
79	той же	3	4
80	в себе	2	4
81	которые в	2	4
82	независимо от	2	3
83	как это	3	3
84	слов и	3	3
85	отличается от	2	3
86	до конца	17	3
87	при этом	7	3
88	связи и	2	3
89	на его	2	3
90	хотя и	2	3
91	но мы	2	3
92	в их	2	3
93	этом отношении	3	3
94	те же	2	3
95	в основе	4	3
96	нуждается в	2	3
97	и здесь	2	3
98	но как	2	3
99	в плане	5	3
100	с его	7	3
101	в них	6	3
102	на фоне	4	3
103	связанные с	4	3
104	по себе	5	3
105	это и	2	3
106	связи с	3	3
107	связано с	3	3
108	до сих	2	3
109	один из	5	3
110	в его	7	3
111	сих пор	2	3
112	как в	13	3
113	в себя	2	3
114	а не	14	3
115	и его	33	3
116	ту же	3	3
117	не знает	2	3
118	отношении к	4	3
119	отношения к	4	3
120	требует от	2	3
121	не менее	4	2
122	и другие	2	2
123	слова к	4	2
124	в этих	7	2
125	для этого	4	2
126	точку зрения	3	2
127	с другой	5	2
128	прежде всего	8	2
129	для нас	5	2
130	но это	3	2
131	и более	2	2
132	одним из	2	2
133	и от	3	2
134	известной степени	2	2
135	и др	4	2
136	все это	16	2
137	где они	2	2
138	в связи	2	2
139	которых мы	2	2
140	все эти	6	2
141	и наконец	5	2
142	с ними	5	2
143	остается в	5	2
144	но он	2	2
145	к его	2	2
146	от него	5	2
147	с ним	7	2
148	восприятием и	2	2
149	и там	3	2
150	у него	3	2
151	для всех	4	2
152	и непосредственно	2	2
153	на котором	2	2
154	языка в	6	2
155	в одном	2	2
156	не с	3	2
157	этом случае	6	2
158	более того	2	2
159	чем в	2	2
160	она не	6	2
161	мы уже	2	2
162	систем в	2	2
163	входят в	2	2
164	и между	2	2
165	разрыв между	3	2
166	все же	6	2
167	всем этим	2	2
168	дело с	4	2
169	а в	4	2
170	этого процесса	3	2
171	речи как	2	2
172	в значительной	6	2
173	с другими	4	2
174	в данном	2	2
175	как с	2	2
176	в другом	2	2
177	в новом	2	2
