N	2gram	Tiupa_Disk_1	Problemy
1	и в	16	43
2	и не	11	29
3	может быть	17	23
4	как бы	5	22
5	не может	9	18
6	в пределах	2	16
7	но и	14	14
8	как и	16	14
9	точки зрения	3	13
10	в этом	15	13
11	что он	4	13
12	слова в	2	12
13	в нем	9	12
14	в одном	2	12
15	в каждом	2	11
16	не в	7	11
17	по себе	3	11
18	не только	28	11
19	прежде всего	11	10
20	и на	5	10
21	но в	8	10
22	в его	7	10
23	как мы	2	10
24	никогда не	2	9
25	еще не	14	9
26	в сущности	2	9
27	для него	4	8
28	лишь в	4	8
29	то же	7	8
30	слово не	2	8
31	и его	2	8
32	или в	2	8
33	перед нами	3	7
34	в самом	3	7
35	к себе	2	7
36	в то	3	7
37	то что	5	7
38	что же	2	7
39	а не	22	7
40	в другом	2	7
41	в том	23	6
42	при этом	13	6
43	в котором	5	6
44	и все	2	6
45	не как	4	6
46	о нем	2	6
47	приводит к	2	6
48	так сказать	2	6
49	же время	4	5
50	хотя и	2	5
51	по отношению	9	5
52	таким образом	3	5
53	а в	5	5
54	к другому	2	5
55	о том	8	5
56	но не	11	5
57	и что	2	5
58	отношению к	9	5
59	и он	2	5
60	в себе	7	5
61	героя и	2	5
62	что в	4	4
63	в своем	6	4
64	с другой	10	4
65	к тому	5	4
66	по мере	2	4
67	человека в	2	4
68	в произведении	3	4
69	то есть	20	4
70	с его	4	4
71	в них	4	4
72	как его	2	4
73	более того	2	4
74	в своей	5	4
75	во всех	5	4
76	в отличие	5	4
77	только в	7	4
78	далеко не	10	4
79	отличие от	5	4
80	не менее	2	3
81	это не	3	3
82	в одной	3	3
83	или иной	5	3
84	но зато	2	3
85	тому же	5	3
86	есть в	2	3
87	более или	2	3
88	той или	3	3
89	в виду	2	3
90	в их	5	3
91	и даже	3	3
92	героя в	2	3
93	между тем	4	3
94	но при	3	3
95	стороны и	2	3
96	в различных	2	3
97	и к	4	3
98	того же	3	3
99	здесь в	2	3
100	когда он	2	3
101	за пределы	2	3
102	что и	3	3
103	все же	3	3
104	себя в	2	3
105	так и	8	3
106	или менее	2	3
107	по своим	4	3
108	в себя	5	3
109	уже не	4	3
110	другой стороны	3	3
111	также и	3	3
112	в рассказе	2	3
113	тем что	3	3
114	могут быть	4	3
115	и ее	2	3
116	уже в	2	2
117	с человеком	2	2
118	в сторону	4	2
119	мысли и	2	2
120	для понимания	2	2
121	к различным	2	2
122	и как	6	2
123	времени и	3	2
124	например в	2	2
125	и др	2	2
126	в целом	4	2
127	отношение к	4	2
128	на том	2	2
129	в форме	2	2
130	и без	2	2
131	целый ряд	2	2
132	отличается от	2	2
133	отношения к	2	2
134	того что	3	2
135	и герой	2	2
136	принадлежащих к	2	2
137	опирается на	2	2
138	в своих	3	2
139	в которых	4	2
140	сказать что	3	2
141	из них	3	2
142	в первом	3	2
143	во всяком	2	2
144	между собой	2	2
145	с этим	3	2
146	об этом	2	2
147	по своему	3	2
148	указывает на	2	2
149	на себя	2	2
150	и о	4	2
151	для себя	4	2
152	не есть	2	2
153	в процессе	5	2
154	внутренней речи	2	2
155	как в	10	2
156	а с	5	2
157	речи как	2	2
158	том что	19	2
159	что не	4	2
160	должны быть	3	2
161	хотя бы	3	2
162	высказывания и	2	2
163	в каждой	3	2
