N	3gram	Losev_Dial_2	Formalny
1	с точки зрения	8	14
2	не может быть	3	14
3	то же время	4	7
4	в то же	3	7
5	и т д	15	6
6	во всяком случае	2	6
7	и т п	2	5
8	с другой стороны	4	5
9	в зависимости от	2	5
10	в данном случае	2	4
11	в самом деле	3	4
12	в связи с	4	4
13	то же самое	2	3
14	в том что	6	3
15	потому что он	2	3
16	то или иное	4	2
17	как бы ни	2	2
18	вовсе не в	3	2
19	тем не менее	2	2
20	сами по себе	3	2
21	может быть только	2	2
22	только то что	4	2
23	как и все	2	2
24	в нем и	2	2
25	мы уже знаем	3	2
