N	2gram	Losev_Dial_1	Otkroven
1	и в	18	19
2	но и	7	13
3	и не	30	13
4	в этом	12	12
5	а не	14	11
6	не в	6	11
7	может быть	17	11
8	не только	13	11
9	и все	3	10
10	вопрос о	2	10
11	в нем	16	10
12	никогда не	9	9
13	не было	6	9
14	потому что	14	9
15	прежде всего	10	9
16	и он	5	8
17	он всегда	2	7
18	ни с	6	7
19	от него	4	7
20	он не	3	7
21	в его	3	7
22	все это	11	6
23	как и	2	6
24	то что	13	5
25	а в	5	5
26	отношение к	5	5
27	в том	9	5
28	для него	2	5
29	в самом	3	5
30	всегда есть	2	4
31	на земле	2	4
32	т е	25	4
33	он сам	5	4
34	только и	4	4
35	что не	7	4
36	все эти	2	4
37	не может	12	4
38	что в	13	4
39	к нему	8	3
40	нем нет	3	3
41	в этих	5	3
42	и есть	16	3
43	мысли и	3	3
44	это не	9	3
45	и вот	6	3
46	что он	11	3
47	того что	2	3
48	для того	2	3
49	что человек	2	3
50	хотя бы	6	3
51	быть может	4	3
52	еще не	2	3
53	и от	2	3
54	могут быть	3	3
55	в себе	11	3
56	было бы	12	3
57	никто не	2	3
58	о том	4	3
59	с ним	6	3
60	как бы	11	3
61	это за	2	3
62	это было	2	3
63	все же	5	2
64	что и	3	2
65	не есть	40	2
66	и для	2	2
67	так и	9	2
68	в своем	5	2
69	для всякого	2	2
70	что же	3	2
71	к этому	2	2
72	по себе	25	2
73	же это	3	2
74	не имеет	15	2
75	должно быть	3	2
76	его не	6	2
77	что для	3	2
78	том что	9	2
79	так что	15	2
80	от самого	3	2
81	в другом	2	2
82	ничто не	3	2
83	и то	9	2
84	что они	3	2
85	сказать что	10	2
86	и с	5	2
87	учение о	11	2
88	даже и	3	2
89	и все-таки	3	2
90	в своей	2	2
91	и ни	6	2
92	так как	11	2
93	и о	3	2
94	ничего не	17	2
95	и из	3	2
96	хотя и	4	2
97	к ней	4	2
98	но в	6	2
99	и потому	3	2
100	же можно	2	2
