N	2gram	Medvedev_U_1	Komedia
1	и в	14	26
2	и не	8	14
3	в том	2	11
4	может быть	6	11
5	но и	4	10
6	в этом	7	10
7	том что	2	9
8	если бы	2	9
9	было бы	3	8
10	не только	10	7
11	что и	2	7
12	то что	7	6
13	в то	3	6
14	таким образом	2	6
15	с его	2	5
16	что он	2	5
17	и с	2	5
18	в частности	3	4
19	прежде всего	8	4
20	как и	3	4
21	в его	2	4
22	все же	3	4
23	в самом	2	4
24	и для	2	4
25	более чем	2	4
26	только в	2	4
27	между тем	2	4
28	это было	2	4
29	о чем	2	3
30	для всех	2	3
31	надо было	2	3
32	но не	2	3
33	же время	3	3
34	в своей	3	3
35	в их	4	3
36	все это	5	3
37	то же	5	3
38	тем что	2	3
39	не может	7	3
40	в этой	4	3
41	но в	3	3
42	ни было	3	2
43	то ни	3	2
44	с другой	4	2
45	это не	3	2
46	в конце	2	2
47	этом смысле	2	2
48	не в	2	2
49	до сих	2	2
50	должна была	2	2
51	бы то	3	2
52	одним из	2	2
53	хотя бы	5	2
54	сих пор	2	2
55	что она	2	2
56	если не	2	2
57	и у	2	2
58	бы и	2	2
59	мы не	2	2
60	не следует	3	2
61	же не	2	2
