N	3gram	Bakhtin_Pr_1	Problema
1	по отношению к	8	19
2	и т п	3	13
3	не может быть	4	11
4	с точки зрения	13	6
5	в большинстве случаев	2	5
6	в его целом	6	5
7	между тем как	4	5
8	в данном случае	2	4
9	с другой стороны	3	4
10	не входит в	3	4
11	то же время	9	3
12	в самом деле	2	3
13	в то же	9	3
14	можно было бы	2	3
15	бы то ни	2	3
16	на самом деле	4	3
17	в этом смысле	10	3
18	в том что	6	3
19	все то что	3	3
20	лишь там где	2	2
21	в лучшем случае	2	2
22	и в то	2	2
23	к нему и	2	2
24	не только в	2	2
25	и не может	2	2
26	в этом отношении	3	2
