N	2gram	Medvedev_F_2	Mirosoze
1	может быть	23	30
2	не только	9	29
3	и в	38	28
4	не может	14	28
5	но и	13	25
6	а не	6	25
7	он не	6	24
8	в этом	27	20
9	не было	6	18
10	не в	15	16
11	потому что	2	16
12	в ней	6	15
13	в своей	7	15
14	никогда не	2	14
15	он был	2	14
16	до конца	2	14
17	в нем	13	13
18	и это	2	12
19	для него	7	11
20	в самом	16	11
21	и не	20	11
22	что в	7	10
23	прежде всего	15	10
24	и все	3	10
25	что он	5	10
26	было бы	6	10
27	с тем	11	9
28	в его	10	9
29	не есть	3	9
30	и его	21	9
31	есть лишь	2	9
32	но не	2	8
33	в котором	2	8
34	того что	3	7
35	в конце	2	7
36	но в	4	7
37	менее всего	3	7
38	к нему	3	7
39	должна быть	5	6
40	в том	11	6
41	в этой	6	6
42	все это	3	6
43	лишь в	7	6
44	и на	3	6
45	вместе с	6	6
46	только в	6	6
47	в которой	2	6
48	не могут	7	5
49	это не	2	5
50	от нее	4	5
51	как и	9	5
52	то что	6	5
53	уже в	2	4
54	в этих	2	4
55	не к	2	4
56	отношение к	2	4
57	в их	6	4
58	и по	2	4
59	а в	6	4
60	точки зрения	8	4
61	должен был	2	4
62	не как	4	4
63	один из	2	4
64	это и	5	4
65	от него	2	4
66	она не	2	4
67	что и	8	4
68	уже не	7	4
69	тем что	8	4
70	к тому	4	3
71	и их	3	3
72	только и	3	3
73	не имеет	2	3
74	не так	2	3
75	должно быть	2	3
76	его не	2	3
77	особенно в	3	3
78	с этим	5	3
79	его в	3	3
80	так как	4	3
81	и с	9	3
82	на этом	2	3
83	с его	11	3
84	для них	3	3
85	в ее	2	3
86	том что	2	3
87	ничего не	4	3
88	вряд ли	2	3
89	не была	2	3
90	хотя бы	6	3
91	место в	3	2
92	и от	2	2
93	его как	2	2
94	в ином	3	2
95	высшей степени	4	2
96	для того	3	2
97	в виду	2	2
98	его с	3	2
99	жизни и	3	2
100	могут быть	6	2
101	всего в	2	2
102	тому чтобы	2	2
103	все эти	6	2
104	есть только	2	2
105	сказать что	2	2
106	даже и	4	2
107	он и	3	2
108	в истории	6	2
109	как бы	4	2
110	том смысле	3	2
111	бы в	5	2
112	с ним	2	2
113	в основе	5	2
114	а как	3	2
115	если бы	5	2
116	в высшей	4	2
117	к этому	4	2
118	литературы и	4	2
119	в то	5	2
120	и к	4	2
121	все же	8	2
122	как в	4	2
123	приводит к	2	2
124	входит в	4	2
125	т е	26	2
126	в той	2	2
127	того чтобы	3	2
128	и как	3	2
129	и для	5	2
130	и нужно	2	2
131	конце концов	2	2
132	от этого	3	2
133	он в	2	2
134	от его	2	2
135	очень существенное	2	2
