N	2gram	Tiupa_Anal_1	VeschiIm
1	не есть	8	49
2	не может	22	33
3	не только	15	31
4	может быть	29	29
5	и не	21	28
6	и в	18	26
7	то что	6	24
8	и есть	3	23
9	и т	3	21
10	а не	17	20
11	не просто	2	18
12	только в	6	14
13	того что	4	13
14	по себе	4	13
15	было бы	2	12
16	но и	17	12
17	есть не	8	12
18	все же	4	12
19	в себя	6	12
20	и то	2	12
21	что же	2	11
22	таким образом	3	11
23	то же	9	10
24	уже не	4	10
25	как бы	5	10
26	потому что	2	10
27	что мы	3	10
28	в том	27	9
29	в самом	6	9
30	бы то	3	9
31	и с	2	9
32	ни было	4	9
33	прежде всего	6	9
34	то ни	3	9
35	что не	3	9
36	себя и	4	8
37	иное как	5	8
38	она есть	2	8
39	что иное	5	8
40	не что	4	8
41	в себе	11	8
42	смысл и	3	8
43	смысла и	3	7
44	также и	2	7
45	в то	9	7
46	так как	2	7
47	том что	12	7
48	себя в	6	7
49	не будет	3	7
50	с другими	4	7
51	в этом	13	7
52	и как	5	6
53	что в	5	6
54	для него	2	6
55	ни с	3	6
56	со стороны	2	6
57	отличается от	2	6
58	должно быть	2	6
59	точки зрения	6	6
60	но в	8	6
61	с ним	4	6
62	это не	6	5
63	не в	14	5
64	еще не	3	5
65	и до	2	5
66	для этого	2	5
67	а в	9	5
68	или не	2	5
69	как к	2	5
70	если бы	3	5
71	отнюдь не	15	5
72	но не	10	5
73	того же	4	5
74	в сущности	6	5
75	для себя	2	5
76	на себя	2	5
77	с другой	4	4
78	же время	6	4
79	из них	2	4
80	в их	5	4
81	быть не	3	4
82	о том	5	4
83	и более	4	4
84	и все	3	4
85	бытия и	2	4
86	как и	13	4
87	не предполагает	2	4
88	и о	2	4
89	и потому	2	4
90	однако не	3	4
91	нет и	2	4
92	должен быть	6	4
93	что и	3	4
94	есть вещь	2	4
95	собственно говоря	4	4
96	с точки	4	4
97	в данном	2	4
98	никогда не	2	3
99	принципиально не	3	3
100	вопрос о	2	3
101	отрыве от	2	3
102	в собственном	3	3
103	что именно	2	3
104	можно сказать	2	3
105	к тому	7	3
106	несмотря на	2	3
107	на этом	2	3
108	и сам	2	3
109	в нем	3	3
110	отношение к	2	3
111	отношения к	2	3
112	реальности и	2	3
113	мы имеем	6	3
114	тогда когда	2	3
115	один из	2	3
116	что он	3	3
117	она может	3	3
118	могла бы	3	3
119	в отрыве	2	3
120	в своей	6	3
121	вместе с	4	3
122	так и	4	3
123	и тогда	2	3
124	а с	3	3
125	из того	4	3
126	в той	8	3
127	самом деле	2	3
128	того чтобы	3	3
129	хотя бы	3	3
130	тому как	3	3
131	тем более	2	3
132	подобно тому	3	3
133	я в	3	3
134	вопроса о	3	3
135	вещь может	2	3
136	в основе	6	3
137	на вопрос	4	2
138	в частности	19	2
139	его и	2	2
140	была бы	2	2
141	на все	2	2
142	ни в	4	2
143	основе своей	2	2
144	и та	2	2
145	ничего иного	2	2
146	данном случае	2	2
147	тех или	2	2
148	первом случае	2	2
149	в первом	2	2
150	оно может	3	2
151	то есть	11	2
152	не с	4	2
153	бы ни	2	2
154	то в	2	2
155	в силу	3	2
156	в качестве	31	2
157	он не	3	2
158	что из	2	2
159	как личность	2	2
160	но к	2	2
161	и вещь	2	2
162	тогда как	14	2
163	как мы	2	2
164	для того	4	2
165	и его	5	2
166	той же	2	2
167	ничто не	2	2
168	не случайно	3	2
169	не все	2	2
