N	2gram	Bakhtin_KF_1	Istorich
1	и в	24	26
2	мы имеем	5	14
3	никогда не	5	13
4	потому что	2	13
5	что в	4	12
6	в том	6	12
7	и на	3	12
8	в этом	14	12
9	может быть	45	11
10	том что	4	10
11	и не	26	10
12	не только	5	10
13	что он	2	9
14	еще не	4	9
15	но и	9	9
16	в нем	28	8
17	все же	5	8
18	все эти	10	8
19	и это	12	8
20	с ним	5	8
21	уже не	7	7
22	и его	17	7
23	о том	3	7
24	но в	5	7
25	то что	7	6
26	как в	2	6
27	не может	27	6
28	в виде	2	6
29	мы не	3	6
30	и эти	2	5
31	как и	5	5
32	в ней	3	5
33	в его	40	5
34	не будет	2	5
35	так и	2	5
36	то же	5	5
37	тем что	3	5
38	в то	3	5
39	только в	16	5
40	его в	5	5
41	там где	5	5
42	и этим	3	5
43	с тем	2	4
44	на своем	3	4
45	это не	10	4
46	но здесь	3	4
47	имеем в	2	4
48	прежде всего	2	4
49	здесь мы	4	4
50	но это	6	4
51	в это	2	4
52	как бы	9	4
53	и тем	3	4
54	что и	7	4
55	он имеет	2	4
56	но как	5	4
57	или иное	2	3
58	и ее	2	3
59	независимо от	3	3
60	если бы	8	3
61	могут быть	3	3
62	в одном	4	3
63	должна быть	4	3
64	к этому	2	3
65	вопрос о	2	3
66	меня в	3	3
67	не в	12	3
68	от него	3	3
69	в качестве	2	3
70	но есть	2	3
71	нет в	4	3
72	и эта	2	3
73	от того	3	3
74	вокруг него	2	3
75	в него	2	3
76	его с	2	3
77	один из	2	3
78	в своей	10	3
79	со стороны	7	3
80	а в	4	3
81	при этом	4	3
82	и других	2	3
83	из которых	2	3
84	меня и	3	3
85	в своих	3	3
86	в данном	2	3
87	и то	2	3
88	та же	2	3
89	и только	6	3
90	в себе	21	3
91	не было	8	3
92	и под	2	3
93	не потому	2	3
94	и действительно	6	3
95	от этого	2	3
96	может иметь	2	2
97	и как	2	2
98	в своем	16	2
99	вовсе не	7	2
100	сводится к	2	2
101	для нас	4	2
102	и конечно	2	2
103	по отношению	26	2
104	но все	5	2
105	но не	12	2
106	всех его	2	2
107	было бы	8	2
108	кажется что	2	2
109	но для	2	2
110	я его	2	2
111	здесь нет	2	2
112	не есть	20	2
113	отношению к	22	2
114	не имеет	5	2
115	жизни и	8	2
116	ни в	12	2
117	он не	6	2
118	а с	2	2
119	именно на	2	2
120	тем самым	4	2
121	а не	17	2
122	того что	3	2
123	что не	3	2
124	то или	2	2
125	что этот	3	2
126	где он	3	2
127	с ними	3	2
128	людей и	2	2
129	быть только	8	2
130	он и	2	2
131	к себе	2	2
132	из его	3	2
133	я могу	5	2
134	в этой	2	2
135	что это	3	2
136	здесь не	3	2
137	мира и	4	2
138	из него	3	2
139	ничего не	3	2
140	или как	2	2
