N	2gram	Losev_Vlad_1	FransuaR
1	и в	31	49
2	то есть	3	32
3	в его	12	18
4	не только	24	17
5	и его	7	17
6	и на	3	17
7	и не	17	15
8	в этом	14	15
9	в них	2	13
10	только в	9	13
11	но и	19	13
12	в году	30	13
13	во время	3	12
14	как и	4	11
15	вовсе не	5	10
16	в этой	4	10
17	все это	5	9
18	для него	7	9
19	в нем	4	9
20	отношение к	3	8
21	все же	3	7
22	один из	4	7
23	жизни и	5	7
24	не может	6	7
25	таким образом	3	7
26	то же	6	7
27	все эти	3	7
28	как мы	9	7
29	то что	18	6
30	в истории	4	6
31	же время	4	6
32	мы уже	7	6
33	так и	6	6
34	сказать что	7	6
35	и с	14	6
36	но он	5	6
37	точки зрения	2	6
38	в то	8	6
39	так как	8	6
40	с его	11	5
41	никогда не	9	5
42	в своем	4	5
43	уже в	7	5
44	из этих	2	5
45	в начале	3	5
46	но не	3	5
47	при этом	2	5
48	тот же	3	5
49	может быть	6	5
50	и потому	6	5
51	в своей	4	5
52	в особенности	4	5
53	она была	2	4
54	с другой	3	4
55	в жизни	3	4
56	и к	6	4
57	в себе	4	4
58	том что	14	4
59	этот момент	2	4
60	и о	2	4
61	в свое	5	4
62	в своих	5	4
63	и до	2	4
64	не было	5	4
65	а в	9	4
66	лишь в	2	4
67	году в	2	4
68	как на	2	4
69	тем что	2	4
70	с ним	5	4
71	но в	12	4
72	место в	2	3
73	в течение	9	3
74	на все	2	3
75	не был	5	3
76	что он	12	3
77	в том	11	3
78	да и	4	3
79	во всем	4	3
80	было бы	2	3
81	из них	2	3
82	несмотря на	4	3
83	в самом	2	3
84	свое время	6	3
85	даже в	2	3
86	и особенно	4	3
87	ни в	2	3
88	он пишет	3	3
89	другой стороны	3	3
90	что для	4	3
91	и все	4	3
92	и других	2	3
93	и вот	3	3
94	на первом	2	3
95	к нему	4	3
96	также и	10	3
97	и вообще	4	3
98	о том	11	3
99	и это	2	3
100	это был	5	2
101	под влиянием	3	2
102	учение о	2	2
103	что в	14	2
104	не были	2	2
105	за пределы	3	2
106	в меру	2	2
107	но даже	2	2
108	в нашем	4	2
109	в качестве	6	2
110	что касается	3	2
111	даже и	9	2
112	на то	5	2
113	в тех	2	2
114	можно сказать	6	2
115	там же	13	2
116	в отношении	3	2
117	он был	14	2
118	по существу	2	2
119	это и	2	2
120	в дальнейшем	8	2
121	но это	3	2
122	что они	3	2
123	все что	2	2
124	так например	2	2
125	ничего не	3	2
126	еще не	2	2
127	по поводу	12	2
128	совершенно не	2	2
129	такого рода	4	2
130	одним из	2	2
131	у него	15	2
132	хотя и	4	2
133	к ней	4	2
134	еще в	4	2
135	и за	2	2
136	вместе с	3	2
137	в связи	3	2
138	были в	2	2
139	того чтобы	2	2
140	и даже	15	2
141	жизнь и	3	2
142	был для	3	2
143	своего времени	2	2
144	во всяком	2	2
145	одной из	2	2
146	на его	3	2
147	под названием	2	2
148	как к	2	2
149	и еще	2	2
150	мы должны	2	2
151	в конце	9	2
152	тех же	2	2
153	здесь не	3	2
154	он как	3	2
155	же с	11	2
156	всяком случае	2	2
