N	2gram	Losev_Prob_2	StatiiOP
1	и в	35	29
2	том что	19	27
3	в том	12	27
4	в этом	17	21
5	но и	16	19
6	что в	11	19
7	не только	24	19
8	о том	18	17
9	что он	4	13
10	в его	7	13
11	в и	2	13
12	то что	38	11
13	все это	4	11
14	к тому	3	10
15	таким образом	4	10
16	в своем	4	9
17	и т	6	9
18	так и	7	9
19	и не	37	9
20	как на	2	9
21	потому что	13	9
22	он не	2	9
23	по поводу	2	8
24	как раз	8	8
25	но в	6	8
26	но все	2	7
27	с тем	3	7
28	в самом	5	7
29	в ней	2	7
30	в виду	8	7
31	вместе с	2	7
32	тому что	3	7
33	для того	3	7
34	об этом	2	6
35	вовсе не	37	6
36	вопрос о	3	6
37	до сих	4	6
38	все же	8	6
39	т д	6	6
40	и что	13	6
41	того чтобы	2	6
42	и на	5	6
43	о чем	6	5
44	прежде всего	11	5
45	в той	2	5
46	в качестве	2	5
47	было бы	8	5
48	как бы	4	5
49	сих пор	4	5
50	в языке	15	5
51	а не	10	5
52	того что	12	5
53	точки зрения	2	5
54	речь идет	2	4
55	в частности	5	4
56	с другой	6	4
57	не в	2	4
58	кроме того	5	4
59	и к	3	4
60	и о	4	4
61	хотя и	3	4
62	внимание на	3	4
63	еще более	2	4
64	ничего не	10	4
65	при помощи	8	4
66	связи с	5	4
67	и с	10	4
68	в общем	4	3
69	не менее	13	3
70	не был	4	3
71	самого начала	2	3
72	в этих	4	3
73	не является	7	3
74	вообще не	4	3
75	оно не	3	3
76	с этим	5	3
77	с нею	2	3
78	по себе	8	3
79	что на	4	3
80	ни в	6	3
81	у нас	18	3
82	так что	11	3
83	но это	6	3
84	но не	4	3
85	и даже	11	3
86	всяком случае	10	3
87	другой стороны	5	3
88	самом деле	4	3
89	в их	3	3
90	не было	3	3
91	еще и	5	3
92	относятся к	3	3
93	тем что	4	3
94	с самого	3	3
95	на самом	4	3
96	и по	3	3
97	хотя бы	12	3
98	так же	5	3
99	во всяком	13	3
100	и здесь	4	3
101	которые не	2	3
102	не то	2	3
103	столько же	2	3
104	в отношении	4	2
105	и более	5	2
106	только не	3	2
107	если бы	4	2
108	и др	2	2
109	по этому	3	2
110	в них	2	2
111	что с	2	2
112	если не	4	2
113	в конце	7	2
114	утверждать что	2	2
115	только по	2	2
116	в тех	2	2
117	что и	2	2
118	о которых	3	2
119	тем не	12	2
120	на тот	2	2
121	нас не	3	2
122	как и	5	2
123	то ни	3	2
124	и как	4	2
125	только о	8	2
126	в этой	9	2
127	что они	3	2
128	в истории	3	2
129	в то	6	2
130	по своему	5	2
131	говорят что	2	2
132	случае не	4	2
133	и сам	2	2
134	несмотря на	3	2
135	такого рода	15	2
136	может быть	18	2
137	никак не	11	2
138	а также	2	2
139	еще в	2	2
140	на то	6	2
141	даже в	2	2
142	нет и	3	2
143	сами по	2	2
144	только в	14	2
145	бы то	2	2
146	также и	12	2
147	ни с	2	2
148	или менее	4	2
149	и речи	3	2
150	совершенно не	2	2
151	и самый	4	2
152	не может	13	2
153	этому поводу	2	2
154	то же	5	2
155	все эти	7	2
156	при этом	3	2
157	более или	4	2
158	в значительной	3	2
159	что такое	18	2
160	не имеет	7	2
161	в данном	10	2
162	в результате	4	2
163	сказать что	24	2
164	мере в	2	2
165	к сожалению	6	2
166	языка в	3	2
167	с и	2	2
168	в каком	4	2
169	тоже по	2	2
170	в себе	5	2
171	и вообще	16	2
172	от его	2	2
173	на это	2	2
174	его в	3	2
175	и это	5	2
176	так как	7	2
177	только с	2	2
178	в области	6	2
179	это было	2	2
