N	2gram	Losev_Dial_3	Narrotol
1	не только	23	26
2	а не	26	17
3	но и	9	15
4	в том	5	14
5	при этом	2	14
6	и не	27	14
7	том что	8	13
8	и в	24	13
9	в этом	8	13
10	в частности	2	11
11	только в	5	11
12	может быть	13	10
13	в данном	2	10
14	к тому	4	9
15	так и	5	9
16	а в	2	9
17	то что	14	8
18	в себе	2	8
19	не может	19	8
20	не в	3	8
21	никогда не	7	6
22	в своем	3	6
23	прежде всего	8	6
24	и к	5	6
25	того что	12	6
26	в его	2	6
27	со стороны	2	6
28	все же	3	6
29	у него	2	6
30	как бы	3	6
31	ничего не	17	6
32	но в	2	6
33	точки зрения	25	5
34	тем не	10	5
35	что он	13	5
36	одной стороны	3	5
37	хотя и	5	5
38	он не	5	5
39	я не	6	5
40	и тем	2	5
41	в нем	3	5
42	таким образом	13	5
43	с одной	3	5
44	тем самым	3	5
45	с другой	4	5
46	в то	5	5
47	о том	6	5
48	перед нами	3	4
49	что это	12	4
50	не менее	11	4
51	если бы	6	4
52	отнюдь не	10	4
53	об этом	6	4
54	же в	2	4
55	тому же	2	4
56	как и	7	4
57	все что	3	4
58	что в	7	4
59	для него	4	4
60	и уже	2	4
61	жизни и	5	4
62	то же	6	4
63	уже не	5	4
64	и у	2	4
65	и мира	4	4
66	в силу	3	4
67	и все	6	4
68	как это	5	4
69	с его	2	3
70	тому что	4	3
71	это не	4	3
72	или иного	2	3
73	или иной	4	3
74	в слове	3	3
75	одна из	3	3
76	но не	2	3
77	же время	3	3
78	того или	3	3
79	как раз	7	3
80	и когда	2	3
81	той или	2	3
82	о нем	4	3
83	только к	2	3
84	для себя	2	3
85	то и	3	3
86	все эти	3	3
87	самом деле	6	3
88	и даже	13	3
89	и по	2	3
90	и для	2	3
91	и его	5	3
92	в таком	14	3
93	о ней	2	3
94	с этой	5	3
95	никак не	2	3
96	сказать что	4	3
97	мира и	3	3
98	зависит от	2	2
99	же как	2	2
100	только не	10	2
101	одно из	5	2
102	личности в	2	2
103	двух или	2	2
104	что у	2	2
105	превращается в	6	2
106	хотя бы	4	2
107	из этих	2	2
108	его внутренней	2	2
109	точно так	2	2
110	я уже	7	2
111	вовсе не	13	2
112	и здесь	2	2
113	на то	3	2
114	для нас	2	2
115	говорит о	4	2
116	себя но	2	2
117	и т	24	2
118	тем более	3	2
119	как о	4	2
120	должна быть	6	2
121	еще не	2	2
122	было бы	5	2
123	со всеми	2	2
124	и он	2	2
125	в самом	7	2
126	несмотря на	2	2
127	но для	2	2
128	что она	9	2
129	у меня	2	2
130	от его	2	2
131	не вполне	2	2
132	однако не	2	2
133	оно не	6	2
134	что и	6	2
135	себя в	2	2
136	не будет	3	2
137	от всего	6	2
138	же она	3	2
139	бытия в	2	2
140	нового времени	2	2
141	только на	7	2
142	собственно говоря	4	2
143	если не	3	2
144	именно в	2	2
145	у нас	4	2
146	быть может	3	2
147	они не	2	2
148	и что	15	2
149	только что	4	2
150	с точки	14	2
151	не имеет	11	2
152	так же	4	2
153	как на	5	2
154	той же	3	2
155	мы не	5	2
156	или иначе	2	2
157	в чем	4	2
158	тому как	4	2
159	но это	5	2
160	в ней	2	2
161	в виде	8	2
162	которое не	2	2
163	мере в	3	2
164	подобно тому	4	2
165	в своих	2	2
166	говорить о	4	2
167	бы в	2	2
168	потому что	7	2
169	стало быть	9	2
