N	2gram	Bakhtin_Fr_4	StatiiOP
1	и в	29	25
2	в этом	11	24
3	в том	7	20
4	что он	4	19
5	может быть	2	19
6	тем что	4	19
7	что это	5	16
8	том что	3	15
9	в этой	13	14
10	в его	8	12
11	то что	4	12
12	не только	10	12
13	в этих	2	11
14	прежде всего	8	10
15	таким образом	20	10
16	и не	16	10
17	у него	5	9
18	но и	9	9
19	все это	4	8
20	в своих	2	8
21	о том	2	8
22	это не	5	7
23	не может	2	7
24	точки зрения	4	7
25	в то	10	7
26	в подлиннике	2	6
27	место в	2	6
28	в конце	9	6
29	только в	2	6
30	как бы	8	6
31	как в	2	6
32	как на	2	6
33	и на	11	6
34	то же	10	5
35	в них	7	5
36	с другой	4	5
37	ни в	2	5
38	в котором	2	5
39	и это	2	5
40	в году	3	5
41	того что	3	5
42	другой стороны	3	5
43	он не	3	5
44	отметить что	3	5
45	так и	11	5
46	но в	12	5
47	и др	4	4
48	связана с	4	4
49	в жизни	2	4
50	это в	2	4
51	а как	2	4
52	как и	12	4
53	мы видим	3	4
54	но это	4	4
55	то в	3	4
56	что здесь	3	4
57	в качестве	3	4
58	и к	2	4
59	на его	2	4
60	в ней	3	4
61	а также	2	4
62	в своей	5	4
63	из этого	2	4
64	в особенности	2	4
65	с точки	2	4
66	в чем	3	4
67	к нему	3	4
68	и для	2	4
69	и с	9	4
70	сказать что	5	4
71	все же	3	4
72	в которой	4	4
73	то время	2	4
74	в эту	3	4
75	уже в	2	3
76	с его	4	3
77	все они	5	3
78	во время	10	3
79	к этому	2	3
80	же время	8	3
81	и здесь	3	3
82	всех этих	3	3
83	он был	2	3
84	что я	2	3
85	на этом	2	3
86	кроме того	2	3
87	до конца	5	3
88	одной стороны	2	3
89	между прочим	2	3
90	и наконец	2	3
91	конце концов	4	3
92	все эти	9	3
93	своего рода	6	3
94	со стороны	2	3
95	в словах	2	3
96	в их	2	3
97	как раз	2	3
98	уже не	2	3
99	и его	8	3
100	связан с	4	3
101	но он	6	3
102	этого рода	2	3
103	связи с	2	3
104	так как	7	3
105	к которому	2	3
106	сам он	2	2
107	это был	2	2
108	все время	3	2
109	это место	5	2
110	никогда не	2	2
111	и у	2	2
112	что у	3	2
113	не столько	2	2
114	но они	4	2
115	в одной	2	2
116	исторического процесса	2	2
117	вовсе не	9	2
118	его к	2	2
119	самого начала	3	2
120	к тому	2	2
121	как мы	10	2
122	на котором	2	2
123	им в	2	2
124	такой же	3	2
125	что они	2	2
126	есть в	2	2
127	но не	2	2
128	времени и	2	2
129	того же	5	2
130	своего времени	3	2
131	еще не	4	2
132	одной из	2	2
133	в сущности	6	2
134	в ряде	2	2
135	которую он	4	2
136	нужно сказать	2	2
137	что из	2	2
138	в виду	2	2
139	если в	2	2
140	один из	4	2
141	и за	3	2
142	были и	3	2
143	до нас	2	2
144	не на	2	2
145	с ее	3	2
146	с одной	2	2
147	и других	3	2
148	нужно отметить	3	2
149	не мог	2	2
150	с самого	3	2
151	для того	3	2
152	и по	5	2
153	той же	3	2
154	или в	2	2
155	этот образ	4	2
156	то он	2	2
157	в результате	4	2
158	он и	5	2
159	но как	3	2
160	здесь только	2	2
161	так сказать	2	2
162	и тот	2	2
163	в плане	4	2
164	в новом	2	2
165	то есть	21	2
