N	2gram	Bakhtin_Fr_5	Dialekti
1	и не	15	30
2	может быть	2	20
3	и в	45	19
4	не только	14	19
5	а не	4	16
6	то что	2	14
7	что она	3	14
8	и даже	4	14
9	в том	10	14
10	как бы	12	14
11	так как	6	14
12	потому что	7	14
13	вовсе не	8	13
14	но и	10	12
15	то же	11	12
16	точки зрения	4	12
17	и все	7	12
18	что это	2	10
19	ни в	3	10
20	как и	10	10
21	и как	5	10
22	в нем	10	10
23	так и	6	10
24	том что	7	10
25	это не	3	10
26	сказать что	4	10
27	не может	5	9
28	прежде всего	10	8
29	мы уже	4	8
30	с точки	2	8
31	не в	7	8
32	в этом	14	8
33	в своей	3	8
34	как это	4	7
35	но это	5	7
36	и к	5	7
37	что в	12	7
38	и притом	2	7
39	в поэзии	3	7
40	и та	2	6
41	что он	6	6
42	в то	11	6
43	но не	4	6
44	есть и	5	6
45	конечно не	2	6
46	того что	3	6
47	жизни и	8	6
48	чтобы не	2	6
49	и вообще	2	6
50	же время	9	5
51	по своему	4	5
52	можно сказать	2	5
53	в самом	4	5
54	что и	7	5
55	и это	4	5
56	а именно	2	5
57	как раз	5	5
58	в одно	2	5
59	и что	2	5
60	и его	13	5
61	тела и	3	5
62	жизнь и	2	5
63	говорить о	2	5
64	только в	4	5
65	о том	4	5
66	и с	10	5
67	нисколько не	3	4
68	независимо от	2	4
69	и есть	2	4
70	в своем	11	4
71	в одном	3	4
72	не могут	2	4
73	все же	2	4
74	не нуждается	2	4
75	при этом	2	4
76	то время	3	4
77	и если	2	4
78	к нему	2	4
79	он не	6	4
80	хотя бы	2	4
81	связи с	6	4
82	от того	3	4
83	все это	7	4
84	во времени	2	4
85	в связи	5	4
86	и только	2	4
87	тут же	2	4
88	таким образом	8	4
89	и вот	3	4
90	самом деле	5	4
91	а в	4	4
92	в одной	3	4
93	одно из	2	4
94	но он	3	4
95	в другом	3	4
96	как он	3	4
97	с ним	5	4
98	не менее	3	3
99	всех этих	6	3
100	же как	4	3
101	о чем	3	3
102	и от	4	3
103	как они	3	3
104	ведь это	2	3
105	это время	2	3
106	об этом	4	3
107	как мы	8	3
108	это и	5	3
109	в этой	6	3
110	и слова	2	3
111	кроме того	4	3
112	было бы	2	3
113	даже в	2	3
114	и их	5	3
115	выйти из	3	3
116	с этим	4	3
117	не было	3	3
118	мы находим	4	3
119	становления и	2	3
120	между собою	4	3
121	в данном	2	3
122	от этого	2	3
123	нуждается в	3	3
124	его в	5	3
125	в чем	2	3
126	ничего не	4	3
127	нет ни	2	3
128	это было	4	3
129	уже и	2	2
130	она и	2	2
131	от их	3	2
132	перед нами	4	2
133	в конце	7	2
134	в системе	2	2
135	на самом	5	2
136	и образы	5	2
137	именно в	3	2
138	но мы	2	2
139	если мы	2	2
140	к тому	2	2
141	что на	3	2
142	мы видим	5	2
143	об этой	3	2
144	в истории	2	2
145	с тем	2	2
146	до сих	3	2
147	и прежде	3	2
148	в общем	4	2
149	в сущности	4	2
150	несмотря на	2	2
151	в ней	8	2
152	если в	2	2
153	сих пор	3	2
154	раз в	2	2
155	на все	2	2
156	во всех	13	2
157	на него	2	2
158	данном случае	2	2
159	в каждом	2	2
160	в их	4	2
161	так же	8	2
162	например в	5	2
163	с ее	5	2
164	как в	3	2
165	форм и	5	2
166	и она	2	2
167	в другое	2	2
168	его не	4	2
169	на мир	7	2
170	также и	7	2
171	в акте	5	2
172	между тем	2	2
173	от земли	2	2
174	во время	12	2
175	во все	2	2
176	же самое	2	2
177	все эти	5	2
178	есть в	3	2
179	но в	14	2
180	том как	2	2
181	вместе с	3	2
182	на этом	5	2
